Player,Team,Pos,Matrix,iXG_pct,iXA_pct,Med10_SOG,i5v5_points60,i5v5_iCF60,Conf_Point,Conf_SOG,Conf_Goal,Reg_P10,Reg_G10,Reg_SOG10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S
Nikita Zadorov,BOS,D,Red,57.98319327731093,73.58943577430972,0.0,0.013603591348115902,,72.0,89.0,59.0,1.9,1.04,11.9,WARM,WARM,HOT
Nikita Zadorov,BOS,D,Red,57.98319327731093,73.58943577430972,0.0,0.0,,72.0,89.0,59.0,1.9,1.04,11.9,WARM,WARM,HOT
Nikita Zadorov,BOS,D,Red,57.98319327731093,73.58943577430972,0.0,0.0,,72.0,89.0,59.0,1.9,1.04,11.9,WARM,WARM,HOT
Tristen Nielsen,COL,C,Red,7.563025210084033,19.08763505402161,0.0,0.03965631196298744,,33.0,43.0,21.0,1.97,0.48,7.5,WARM,COOL,HOT
Tristen Nielsen,COL,C,Red,7.563025210084033,19.08763505402161,0.0,,,33.0,43.0,21.0,1.97,0.48,7.5,WARM,COOL,HOT
Tristen Nielsen,COL,C,Red,7.563025210084033,19.08763505402161,0.0,,,33.0,43.0,21.0,1.97,0.48,7.5,WARM,COOL,HOT
Brett Berard,NYR,L,Red,31.872749099639858,7.322929171668667,0.0,0.0,,23.0,62.0,41.0,1.42,1.42,8.33,WARM,WARM,HOT
Brett Berard,NYR,L,Red,31.872749099639858,7.322929171668667,0.0,,,23.0,62.0,41.0,1.42,1.42,8.33,WARM,WARM,HOT
Brett Berard,NYR,L,Red,31.872749099639858,7.322929171668667,0.0,0.0,,23.0,62.0,41.0,1.42,1.42,8.33,WARM,WARM,HOT
Vladimir Tarasenko,MIN,R,Yellow,81.75270108043217,73.58943577430972,0.0,0.023589541969726756,,64.0,100.0,66.0,-1.17,-2.5,18.06,COOL,COOL,HOT
Vladimir Tarasenko,MIN,R,Yellow,81.75270108043217,73.58943577430972,0.0,,,64.0,100.0,66.0,-1.17,-2.5,18.06,COOL,COOL,HOT
Vladimir Tarasenko,MIN,R,Yellow,81.75270108043217,73.58943577430972,0.0,0.05879470847623714,,64.0,100.0,66.0,-1.17,-2.5,18.06,COOL,COOL,HOT
Jared Davidson,MTL,C,Red,24.729891956782712,19.08763505402161,0.0,0.011498658489842852,,31.0,59.0,35.0,1.13,1.13,9.0,WARM,WARM,HOT
Jared Davidson,MTL,C,Red,24.729891956782712,19.08763505402161,0.0,0.0,,31.0,59.0,35.0,1.13,1.13,9.0,WARM,WARM,HOT
Jared Davidson,MTL,C,Red,24.729891956782712,19.08763505402161,0.0,,,31.0,59.0,35.0,1.13,1.13,9.0,WARM,WARM,HOT
Ilya Lyubushkin,DAL,D,Red,13.445378151260504,48.67947178871548,0.0,0.016020139604073693,,49.0,43.0,21.0,0.14,-0.86,6.0,COOL,COOL,HOT
Ilya Lyubushkin,DAL,D,Red,13.445378151260504,48.67947178871548,0.0,0.0,,49.0,43.0,21.0,0.14,-0.86,6.0,COOL,COOL,HOT
Ilya Lyubushkin,DAL,D,Red,13.445378151260504,48.67947178871548,0.0,0.0,,49.0,43.0,21.0,0.14,-0.86,6.0,COOL,COOL,HOT
Jake Bean,CGY,D,Red,15.366146458583433,19.08763505402161,0.0,0.008253094910591471,,25.0,55.0,23.0,-1.07,-0.69,10.0,COOL,COOL,HOT
Jake Bean,CGY,D,Red,15.366146458583433,19.08763505402161,0.0,0.0,,25.0,55.0,23.0,-1.07,-0.69,10.0,COOL,COOL,HOT
Jake Bean,CGY,D,Red,15.366146458583433,19.08763505402161,0.0,0.0,,25.0,55.0,23.0,-1.07,-0.69,10.0,COOL,COOL,HOT
Tomas Hertl,VGK,C,Yellow,99.03961584633853,82.47298919567827,0.0,0.024692139668872074,,75.0,100.0,93.0,0.54,2.78,26.25,COOL,HOT,HOT
Tomas Hertl,VGK,C,Yellow,99.03961584633853,82.47298919567827,0.0,0.0,,75.0,100.0,93.0,0.54,2.78,26.25,COOL,HOT,HOT
Tomas Hertl,VGK,C,Yellow,99.03961584633853,82.47298919567827,0.0,0.08173374613003095,,75.0,100.0,93.0,0.54,2.78,26.25,COOL,HOT,HOT
Jacob Trouba,ANA,D,Red,52.40096038415366,70.88835534213686,0.0,0.018928724339184713,,67.0,100.0,51.0,0.58,-0.1,19.51,COOL,COOL,HOT
Jacob Trouba,ANA,D,Red,52.40096038415366,70.88835534213686,0.0,0.008242890506937765,,67.0,100.0,51.0,0.58,-0.1,19.51,COOL,COOL,HOT
Jacob Trouba,ANA,D,Red,52.40096038415366,70.88835534213686,0.0,0.0,,67.0,100.0,51.0,0.58,-0.1,19.51,COOL,COOL,HOT
Adrian Kempe,LAK,R,Yellow,91.35654261704683,89.85594237695078,0.0,0.030966853997018005,,84.0,100.0,77.0,1.84,-0.92,28.75,WARM,COOL,HOT
Adrian Kempe,LAK,R,Yellow,91.35654261704683,89.85594237695078,0.0,0.04329004329004329,,84.0,100.0,77.0,1.84,-0.92,28.75,WARM,COOL,HOT
Adrian Kempe,LAK,R,Yellow,91.35654261704683,89.85594237695078,0.0,0.03307151715584952,,84.0,100.0,77.0,1.84,-0.92,28.75,WARM,COOL,HOT
Mark Jankowski,CAR,L,Red,64.10564225690277,36.97478991596639,0.0,0.01640868566427829,,43.0,85.0,62.0,0.98,0.69,9.35,COOL,COOL,HOT
Mark Jankowski,CAR,L,Red,64.10564225690277,36.97478991596639,0.0,0.0,,43.0,85.0,62.0,0.98,0.69,9.35,COOL,COOL,HOT
Mark Jankowski,CAR,L,Red,64.10564225690277,36.97478991596639,0.0,0.0,,43.0,85.0,62.0,0.98,0.69,9.35,COOL,COOL,HOT
Jonas Siegenthaler,NJD,D,Red,28.7515006002401,36.97478991596639,0.0,0.0027202248719227456,,39.0,60.0,36.0,-0.71,0.33,8.57,COOL,COOL,HOT
Jonas Siegenthaler,NJD,D,Red,28.7515006002401,36.97478991596639,0.0,0.014591439688715954,,39.0,60.0,36.0,-0.71,0.33,8.57,COOL,COOL,HOT
Jonas Siegenthaler,NJD,D,Red,28.7515006002401,36.97478991596639,0.0,0.0,,39.0,60.0,36.0,-0.71,0.33,8.57,COOL,COOL,HOT
Filip Hallander,PIT,C,Red,49.81992797118848,31.392557022809125,0.0,0.01960357220649096,,42.0,97.0,54.0,1.91,1.6,16.92,WARM,WARM,HOT
Filip Hallander,PIT,C,Red,49.81992797118848,31.392557022809125,0.0,0.07702182284980745,,42.0,97.0,54.0,1.91,1.6,16.92,WARM,WARM,HOT
Filip Hallander,PIT,C,Red,49.81992797118848,31.392557022809125,0.0,0.0,,42.0,97.0,54.0,1.91,1.6,16.92,WARM,WARM,HOT
Hunter Brzustewicz,CGY,D,Red,9.663865546218489,7.322929171668667,0.0,0.0,,20.0,49.0,22.0,0.28,0.28,9.0,COOL,COOL,HOT
Hunter Brzustewicz,CGY,D,Red,9.663865546218489,7.322929171668667,0.0,0.0,,20.0,49.0,22.0,0.28,0.28,9.0,COOL,COOL,HOT
Hunter Brzustewicz,CGY,D,Red,9.663865546218489,7.322929171668667,0.0,0.0,,20.0,49.0,22.0,0.28,0.28,9.0,COOL,COOL,HOT
Nino Niederreiter,WPG,R,Yellow,84.51380552220888,63.68547418967587,0.0,0.017117791804857174,,73.0,100.0,82.0,4.81,2.5,13.59,HOT,HOT,HOT
Nino Niederreiter,WPG,R,Yellow,84.51380552220888,63.68547418967587,0.0,,,73.0,100.0,82.0,4.81,2.5,13.59,HOT,HOT,HOT
Nino Niederreiter,WPG,R,Yellow,84.51380552220888,63.68547418967587,0.0,0.07934408886537953,,73.0,100.0,82.0,4.81,2.5,13.59,HOT,HOT,HOT
Frank Vatrano,ANA,R,Yellow,75.63025210084034,31.392557022809125,0.0,0.012540233248338419,,36.0,100.0,71.0,-0.16,1.06,17.89,COOL,WARM,HOT
Frank Vatrano,ANA,R,Yellow,75.63025210084034,31.392557022809125,0.0,0.0,,36.0,100.0,71.0,-0.16,1.06,17.89,COOL,WARM,HOT
Frank Vatrano,ANA,R,Yellow,75.63025210084034,31.392557022809125,0.0,0.03355704697986577,,36.0,100.0,71.0,-0.16,1.06,17.89,COOL,WARM,HOT
Radek Faksa,DAL,C,Red,51.980792316926774,79.59183673469387,0.0,0.031005081388338643,,72.0,67.0,54.0,0.3,0.88,5.61,COOL,COOL,HOT
Radek Faksa,DAL,C,Red,51.980792316926774,79.59183673469387,0.0,0.02276176024279211,,72.0,67.0,54.0,0.3,0.88,5.61,COOL,COOL,HOT
Radek Faksa,DAL,C,Red,51.980792316926774,79.59183673469387,0.0,0.0,,72.0,67.0,54.0,0.3,0.88,5.61,COOL,COOL,HOT
Reid Schaefer,NSH,L,Red,35.59423769507803,7.322929171668667,0.0,0.022134095729964033,,17.0,62.0,37.0,-0.91,-0.91,7.78,COOL,COOL,HOT
Reid Schaefer,NSH,L,Red,35.59423769507803,7.322929171668667,0.0,0.0,,17.0,62.0,37.0,-0.91,-0.91,7.78,COOL,COOL,HOT
Reid Schaefer,NSH,L,Red,35.59423769507803,7.322929171668667,0.0,0.0,,17.0,62.0,37.0,-0.91,-0.91,7.78,COOL,COOL,HOT
Brandon Hagel,TBL,L,Yellow,98.79951980792316,86.8547418967587,0.0,0.04447139680614514,,85.0,100.0,94.0,2.93,3.21,29.72,HOT,HOT,HOT
Brandon Hagel,TBL,L,Yellow,98.79951980792316,86.8547418967587,0.0,0.010828370330265295,,85.0,100.0,94.0,2.93,3.21,29.72,HOT,HOT,HOT
Brandon Hagel,TBL,L,Yellow,98.79951980792316,86.8547418967587,0.0,0.08693132425383947,,85.0,100.0,94.0,2.93,3.21,29.72,HOT,HOT,HOT
Pius Suter,STL,C,Yellow,83.73349339735896,53.96158463385354,0.0,0.02067895915905566,,65.0,100.0,82.0,4.48,2.59,16.76,HOT,HOT,HOT
Pius Suter,STL,C,Yellow,83.73349339735896,53.96158463385354,0.0,0.018028846153846152,,65.0,100.0,82.0,4.48,2.59,16.76,HOT,HOT,HOT
Pius Suter,STL,C,Yellow,83.73349339735896,53.96158463385354,0.0,0.03988035892323031,,65.0,100.0,82.0,4.48,2.59,16.76,HOT,HOT,HOT
Zeev Buium,VAN,D,Red,43.21728691476591,79.59183673469387,0.0,0.011109053878911312,,72.0,71.0,44.0,0.09,-0.33,9.02,COOL,COOL,HOT
Zeev Buium,VAN,D,Red,43.21728691476591,79.59183673469387,0.0,0.0,,72.0,71.0,44.0,0.09,-0.33,9.02,COOL,COOL,HOT
Zeev Buium,VAN,D,Red,43.21728691476591,79.59183673469387,0.0,0.08134490238611713,,72.0,71.0,44.0,0.09,-0.33,9.02,COOL,COOL,HOT
Maxim Tsyplakov,NYI,R,Red,29.4717887154862,7.322929171668667,0.0,0.0045917195989898215,,21.0,57.0,37.0,0.64,0.64,7.39,COOL,COOL,HOT
Maxim Tsyplakov,NYI,R,Red,29.4717887154862,7.322929171668667,0.0,0.0,,21.0,57.0,37.0,0.64,0.64,7.39,COOL,COOL,HOT
Maxim Tsyplakov,NYI,R,Red,29.4717887154862,7.322929171668667,0.0,0.0,,21.0,57.0,37.0,0.64,0.64,7.39,COOL,COOL,HOT
Tommy Novak,PIT,C,Yellow,77.01080432172868,76.53061224489795,0.0,0.029974022513821356,,67.0,100.0,66.0,-0.89,-1.06,15.37,COOL,COOL,HOT
Tommy Novak,PIT,C,Yellow,77.01080432172868,76.53061224489795,0.0,0.0,,67.0,100.0,66.0,-0.89,-1.06,15.37,COOL,COOL,HOT
Tommy Novak,PIT,C,Yellow,77.01080432172868,76.53061224489795,0.0,0.10997067448680352,,67.0,100.0,66.0,-0.89,-1.06,15.37,COOL,COOL,HOT
Wyatt Kaiser,CHI,D,Red,40.57623049219688,43.037214885954384,0.0,0.012765353883977117,,41.0,73.0,39.0,-1.26,-1.45,10.24,COOL,COOL,HOT
Wyatt Kaiser,CHI,D,Red,40.57623049219688,43.037214885954384,0.0,0.0,,41.0,73.0,39.0,-1.26,-1.45,10.24,COOL,COOL,HOT
Wyatt Kaiser,CHI,D,Red,40.57623049219688,43.037214885954384,0.0,0.0,,41.0,73.0,39.0,-1.26,-1.45,10.24,COOL,COOL,HOT
Michael Brandsegg-Nygrd,DET,R,Red,28.57142857142857,19.08763505402161,0.0,0.01020408163265306,,32.0,80.0,39.0,1.66,1.54,15.56,WARM,WARM,HOT
Michael Brandsegg-Nygrd,DET,R,Red,28.57142857142857,19.08763505402161,0.0,,,32.0,80.0,39.0,1.66,1.54,15.56,WARM,WARM,HOT
Michael Brandsegg-Nygrd,DET,R,Red,28.57142857142857,19.08763505402161,0.0,0.0,,32.0,80.0,39.0,1.66,1.54,15.56,WARM,WARM,HOT
Xavier Parent,NJD,C,Red,8.703481392557023,7.322929171668667,,0.0,,19.0,23.0,20.0,,,,COOL,COOL,COOL
Xavier Parent,NJD,C,Red,8.703481392557023,7.322929171668667,,,,19.0,23.0,20.0,,,,COOL,COOL,COOL
Xavier Parent,NJD,C,Red,8.703481392557023,7.322929171668667,,0.0,,19.0,23.0,20.0,,,,COOL,COOL,COOL
Mikko Rantanen,DAL,R,Yellow,95.55822328931572,99.81992797118848,,0.04468798212480715,,86.0,80.0,83.0,,,,COOL,COOL,COOL
Mikko Rantanen,DAL,R,Yellow,95.55822328931572,99.81992797118848,,0.0,,86.0,80.0,83.0,,,,COOL,COOL,COOL
Mikko Rantanen,DAL,R,Yellow,95.55822328931572,99.81992797118848,,0.15103425632045528,,86.0,80.0,83.0,,,,COOL,COOL,COOL
John Marino,UTA,D,Red,46.21848739495798,82.47298919567827,,0.018737034641208093,,73.0,48.0,47.0,,,,COOL,COOL,COOL
John Marino,UTA,D,Red,46.21848739495798,82.47298919567827,,0.0,,73.0,48.0,47.0,,,,COOL,COOL,COOL
John Marino,UTA,D,Red,46.21848739495798,82.47298919567827,,0.0,,73.0,48.0,47.0,,,,COOL,COOL,COOL
Boone Jenner,CBJ,C,Yellow,79.95198079231692,76.53061224489795,,0.038917716827279465,,69.0,69.0,72.0,,,,COOL,COOL,COOL
Boone Jenner,CBJ,C,Yellow,79.95198079231692,76.53061224489795,,0.029469548133595286,,69.0,69.0,72.0,,,,COOL,COOL,COOL
Boone Jenner,CBJ,C,Yellow,79.95198079231692,76.53061224489795,,0.05652378709373528,,69.0,69.0,72.0,,,,COOL,COOL,COOL
Paul Cotter,NJD,L,Red,61.28451380552221,43.037214885954384,,0.012754198256926239,,45.0,57.0,58.0,,,,COOL,COOL,COOL
Paul Cotter,NJD,L,Red,61.28451380552221,43.037214885954384,,0.0,,45.0,57.0,58.0,,,,COOL,COOL,COOL
Paul Cotter,NJD,L,Red,61.28451380552221,43.037214885954384,,0.10135135135135136,,45.0,57.0,58.0,,,,COOL,COOL,COOL
Jack Ahcan,COL,D,Red,6.782713085234093,19.08763505402161,,0.014756517461878997,,28.0,22.0,19.0,,,,COOL,COOL,COOL
Jack Ahcan,COL,D,Red,6.782713085234093,19.08763505402161,,0.0,,28.0,22.0,19.0,,,,COOL,COOL,COOL
Jack Ahcan,COL,D,Red,6.782713085234093,19.08763505402161,,0.0,,28.0,22.0,19.0,,,,COOL,COOL,COOL
Tyson Kozak,BUF,C,Red,41.17647058823529,26.290516206482593,,0.015829046299960427,,33.0,44.0,44.0,,,,COOL,COOL,COOL
Tyson Kozak,BUF,C,Red,41.17647058823529,26.290516206482593,,0.0,,33.0,44.0,44.0,,,,COOL,COOL,COOL
Tyson Kozak,BUF,C,Red,41.17647058823529,26.290516206482593,,0.0,,33.0,44.0,44.0,,,,COOL,COOL,COOL
Shane Lachance,NJD,L,Red,0.7202881152460985,7.322929171668667,,0.0,,19.0,18.0,15.0,,,,COOL,COOL,COOL
Shane Lachance,NJD,L,Red,0.7202881152460985,7.322929171668667,,,,19.0,18.0,15.0,,,,COOL,COOL,COOL
Shane Lachance,NJD,L,Red,0.7202881152460985,7.322929171668667,,,,19.0,18.0,15.0,,,,COOL,COOL,COOL
Alexey Toropchenko,STL,R,Red,48.319327731092436,31.392557022809125,,0.010424509179359472,,37.0,49.0,49.0,,,,COOL,COOL,COOL
Alexey Toropchenko,STL,R,Red,48.319327731092436,31.392557022809125,,0.052060737527114966,,37.0,49.0,49.0,,,,COOL,COOL,COOL
Alexey Toropchenko,STL,R,Red,48.319327731092436,31.392557022809125,,0.0,,37.0,49.0,49.0,,,,COOL,COOL,COOL
Brendan Smith,CBJ,D,Red,10.504201680672269,26.290516206482593,,0.012921287821686228,,33.0,24.0,22.0,,,,COOL,COOL,COOL
Brendan Smith,CBJ,D,Red,10.504201680672269,26.290516206482593,,0.0,,33.0,24.0,22.0,,,,COOL,COOL,COOL
Brendan Smith,CBJ,D,Red,10.504201680672269,26.290516206482593,,,,33.0,24.0,22.0,,,,COOL,COOL,COOL
Andrei Kuzmenko,LAK,L,Yellow,70.82833133253301,48.67947178871548,,0.015335463258785943,,49.0,64.0,65.0,,,,COOL,COOL,COOL
Andrei Kuzmenko,LAK,L,Yellow,70.82833133253301,48.67947178871548,,,,49.0,64.0,65.0,,,,COOL,COOL,COOL
Andrei Kuzmenko,LAK,L,Yellow,70.82833133253301,48.67947178871548,,0.06166495375128469,,49.0,64.0,65.0,,,,COOL,COOL,COOL
Cutter Gauthier,ANA,L,Yellow,92.37695078031213,89.85594237695078,,0.043424138030860086,,79.0,78.0,81.0,,,,COOL,COOL,COOL
Cutter Gauthier,ANA,L,Yellow,92.37695078031213,89.85594237695078,,0.0,,79.0,78.0,81.0,,,,COOL,COOL,COOL
Cutter Gauthier,ANA,L,Yellow,92.37695078031213,89.85594237695078,,0.07145287512759442,,79.0,78.0,81.0,,,,COOL,COOL,COOL
Nick Bjugstad,STL,C,Red,57.683073229291715,19.08763505402161,,0.019228304063581593,,28.0,55.0,56.0,,,,COOL,COOL,COOL
Nick Bjugstad,STL,C,Red,57.683073229291715,19.08763505402161,,0.0,,28.0,55.0,56.0,,,,COOL,COOL,COOL
Nick Bjugstad,STL,C,Red,57.683073229291715,19.08763505402161,,0.0,,28.0,55.0,56.0,,,,COOL,COOL,COOL
Colton Parayko,STL,D,Red,40.816326530612244,70.88835534213686,,0.013367088607594937,,65.0,44.0,43.0,,,,COOL,COOL,COOL
Colton Parayko,STL,D,Red,40.816326530612244,70.88835534213686,,0.0,,65.0,44.0,43.0,,,,COOL,COOL,COOL
Colton Parayko,STL,D,Red,40.816326530612244,70.88835534213686,,0.0,,65.0,44.0,43.0,,,,COOL,COOL,COOL
Auston Matthews,TOR,C,Yellow,98.43937575030012,76.53061224489795,,0.03844745514463566,,69.0,81.0,85.0,,,,COOL,COOL,COOL
Auston Matthews,TOR,C,Yellow,98.43937575030012,76.53061224489795,,0.0,,69.0,81.0,85.0,,,,COOL,COOL,COOL
Auston Matthews,TOR,C,Yellow,98.43937575030012,76.53061224489795,,0.07334963325183375,,69.0,81.0,85.0,,,,COOL,COOL,COOL
Luke Kunin,FLA,C,Red,47.89915966386555,19.08763505402161,,0.012772298304122614,,28.0,49.0,48.0,,,,COOL,COOL,COOL
Luke Kunin,FLA,C,Red,47.89915966386555,19.08763505402161,,0.0,,28.0,49.0,48.0,,,,COOL,COOL,COOL
Luke Kunin,FLA,C,Red,47.89915966386555,19.08763505402161,,0.0,,28.0,49.0,48.0,,,,COOL,COOL,COOL
Jamie Benn,DAL,L,Yellow,66.20648259303722,53.96158463385354,,0.04895192669762771,,53.0,61.0,62.0,,,,COOL,COOL,COOL
Jamie Benn,DAL,L,Yellow,66.20648259303722,53.96158463385354,,0.0,,53.0,61.0,62.0,,,,COOL,COOL,COOL
Jamie Benn,DAL,L,Yellow,66.20648259303722,53.96158463385354,,0.0,,53.0,61.0,62.0,,,,COOL,COOL,COOL
Sam Malinski,COL,D,Red,40.27611044417767,89.85594237695078,,0.03248511099079589,,79.0,44.0,43.0,,,,COOL,COOL,COOL
Sam Malinski,COL,D,Red,40.27611044417767,89.85594237695078,,0.0,,79.0,44.0,43.0,,,,COOL,COOL,COOL
Sam Malinski,COL,D,Red,40.27611044417767,89.85594237695078,,0.2608695652173913,,79.0,44.0,43.0,,,,COOL,COOL,COOL
Kyle Connor,WPG,L,Yellow,93.75750300120048,98.01920768307323,,0.04959338754832689,,85.0,78.0,82.0,,,,COOL,COOL,COOL
Kyle Connor,WPG,L,Yellow,93.75750300120048,98.01920768307323,,0.03934426229508197,,85.0,78.0,82.0,,,,COOL,COOL,COOL
Kyle Connor,WPG,L,Yellow,93.75750300120048,98.01920768307323,,0.08385744234800839,,85.0,78.0,82.0,,,,COOL,COOL,COOL
Philippe Myers,TOR,D,Red,19.627851140456183,26.290516206482593,,0.007387797820599643,,33.0,30.0,28.0,,,,COOL,COOL,COOL
Philippe Myers,TOR,D,Red,19.627851140456183,26.290516206482593,,0.0,,33.0,30.0,28.0,,,,COOL,COOL,COOL
Philippe Myers,TOR,D,Red,19.627851140456183,26.290516206482593,,,,33.0,30.0,28.0,,,,COOL,COOL,COOL
Nate Schmidt,UTA,D,Red,37.15486194477791,67.52701080432173,,0.015541479266253797,,63.0,42.0,41.0,,,,COOL,COOL,COOL
Nate Schmidt,UTA,D,Red,37.15486194477791,67.52701080432173,,0.0,,63.0,42.0,41.0,,,,COOL,COOL,COOL
Nate Schmidt,UTA,D,Red,37.15486194477791,67.52701080432173,,0.0,,63.0,42.0,41.0,,,,COOL,COOL,COOL
Matt Coronato,CGY,R,Yellow,88.11524609843937,76.53061224489795,,0.031251017285718934,,69.0,75.0,77.0,,,,COOL,COOL,COOL
Matt Coronato,CGY,R,Yellow,88.11524609843937,76.53061224489795,,0.0,,69.0,75.0,77.0,,,,COOL,COOL,COOL
Matt Coronato,CGY,R,Yellow,88.11524609843937,76.53061224489795,,0.048569886670264434,,69.0,75.0,77.0,,,,COOL,COOL,COOL
Adam Fox,NYR,D,Red,53.84153661464586,95.31812725090036,,0.025498588470995356,,83.0,52.0,53.0,,,,COOL,COOL,COOL
Adam Fox,NYR,D,Red,53.84153661464586,95.31812725090036,,0.05853658536585366,,83.0,52.0,53.0,,,,COOL,COOL,COOL
Adam Fox,NYR,D,Red,53.84153661464586,95.31812725090036,,0.1020986954055587,,83.0,52.0,53.0,,,,COOL,COOL,COOL
Ben Meyers,SEA,C,Red,45.85834333733494,31.392557022809125,,0.030002500208350696,,37.0,47.0,47.0,,,,COOL,COOL,COOL
Ben Meyers,SEA,C,Red,45.85834333733494,31.392557022809125,,0.0,,37.0,47.0,47.0,,,,COOL,COOL,COOL
Ben Meyers,SEA,C,Red,45.85834333733494,31.392557022809125,,0.0,,37.0,47.0,47.0,,,,COOL,COOL,COOL
Gage Goncalves,TBL,C,Red,55.46218487394958,63.68547418967587,,0.02976313505022529,,60.0,54.0,54.0,,,,COOL,COOL,COOL
Gage Goncalves,TBL,C,Red,55.46218487394958,63.68547418967587,,0.0,,60.0,54.0,54.0,,,,COOL,COOL,COOL
Gage Goncalves,TBL,C,Red,55.46218487394958,63.68547418967587,,0.025210084033613446,,60.0,54.0,54.0,,,,COOL,COOL,COOL
Beck Malenstyn,BUF,L,Red,56.362545018007204,31.392557022809125,,0.013308490817141336,,37.0,54.0,55.0,,,,COOL,COOL,COOL
Beck Malenstyn,BUF,L,Red,56.362545018007204,31.392557022809125,,0.0,,37.0,54.0,55.0,,,,COOL,COOL,COOL
Beck Malenstyn,BUF,L,Red,56.362545018007204,31.392557022809125,,0.0,,37.0,54.0,55.0,,,,COOL,COOL,COOL
Conor Timmins,BUF,D,Red,25.03001200480192,48.67947178871548,,0.01156403584851113,,49.0,34.0,32.0,,,,COOL,COOL,COOL
Conor Timmins,BUF,D,Red,25.03001200480192,48.67947178871548,,0.0,,49.0,34.0,32.0,,,,COOL,COOL,COOL
Conor Timmins,BUF,D,Red,25.03001200480192,48.67947178871548,,0.0,,49.0,34.0,32.0,,,,COOL,COOL,COOL
Zakhar Bardakov,COL,C,Red,34.03361344537815,36.97478991596639,,0.026001040041601663,,41.0,40.0,39.0,,,,COOL,COOL,COOL
Zakhar Bardakov,COL,C,Red,34.03361344537815,36.97478991596639,,0.0,,41.0,40.0,39.0,,,,COOL,COOL,COOL
Zakhar Bardakov,COL,C,Red,34.03361344537815,36.97478991596639,,0.0,,41.0,40.0,39.0,,,,COOL,COOL,COOL
Tim Sttzle,OTT,C,Yellow,95.7983193277311,95.31812725090036,,0.04036740186041069,,83.0,80.0,83.0,,,,COOL,COOL,COOL
Tim Sttzle,OTT,C,Yellow,95.7983193277311,95.31812725090036,,0.013268465280849183,,83.0,80.0,83.0,,,,COOL,COOL,COOL
Tim Sttzle,OTT,C,Yellow,95.7983193277311,95.31812725090036,,0.11424219345011424,,83.0,80.0,83.0,,,,COOL,COOL,COOL
Andrew Agozzino,UTA,L,Red,1.800720288115246,7.322929171668667,,0.0,,19.0,19.0,15.0,,,,COOL,COOL,COOL
Andrew Agozzino,UTA,L,Red,1.800720288115246,7.322929171668667,,0.0,,19.0,19.0,15.0,,,,COOL,COOL,COOL
Andrew Agozzino,UTA,L,Red,1.800720288115246,7.322929171668667,,,,19.0,19.0,15.0,,,,COOL,COOL,COOL
Drew O'Connor,VAN,L,Yellow,77.6110444177671,48.67947178871548,,0.026847485629711218,,49.0,68.0,70.0,,,,COOL,COOL,COOL
Drew O'Connor,VAN,L,Yellow,77.6110444177671,48.67947178871548,,0.0333425951653237,,49.0,68.0,70.0,,,,COOL,COOL,COOL
Drew O'Connor,VAN,L,Yellow,77.6110444177671,48.67947178871548,,0.0,,49.0,68.0,70.0,,,,COOL,COOL,COOL
Oliver Moore,CHI,C,Red,54.921968787515006,59.06362545018007,,0.025776886724903338,,57.0,53.0,54.0,,,,COOL,COOL,COOL
Oliver Moore,CHI,C,Red,54.921968787515006,59.06362545018007,,0.0,,57.0,53.0,54.0,,,,COOL,COOL,COOL
Oliver Moore,CHI,C,Red,54.921968787515006,59.06362545018007,,0.12295081967213115,,57.0,53.0,54.0,,,,COOL,COOL,COOL
Juho Lammikko,NJD,C,Red,40.936374549819924,26.290516206482593,,0.00951927653498334,,33.0,44.0,43.0,,,,COOL,COOL,COOL
Juho Lammikko,NJD,C,Red,40.936374549819924,26.290516206482593,,0.0,,33.0,44.0,43.0,,,,COOL,COOL,COOL
Juho Lammikko,NJD,C,Red,40.936374549819924,26.290516206482593,,0.0,,33.0,44.0,43.0,,,,COOL,COOL,COOL
Mackie Samoskevich,FLA,R,Yellow,87.51500600240097,79.59183673469387,,0.023283708459747407,,71.0,74.0,77.0,,,,COOL,COOL,COOL
Mackie Samoskevich,FLA,R,Yellow,87.51500600240097,79.59183673469387,,0.0,,71.0,74.0,77.0,,,,COOL,COOL,COOL
Mackie Samoskevich,FLA,R,Yellow,87.51500600240097,79.59183673469387,,0.07315798641351681,,71.0,74.0,77.0,,,,COOL,COOL,COOL
Claude Giroux,OTT,R,Yellow,72.02881152460985,91.41656662665066,,0.034368892782532516,,80.0,64.0,66.0,,,,COOL,COOL,COOL
Claude Giroux,OTT,R,Yellow,72.02881152460985,91.41656662665066,,0.0,,80.0,64.0,66.0,,,,COOL,COOL,COOL
Claude Giroux,OTT,R,Yellow,72.02881152460985,91.41656662665066,,0.0862223818932998,,80.0,64.0,66.0,,,,COOL,COOL,COOL
Alex Killorn,ANA,L,Yellow,67.94717887154862,63.68547418967587,,0.016549441456350848,,60.0,62.0,63.0,,,,COOL,COOL,COOL
Alex Killorn,ANA,L,Yellow,67.94717887154862,63.68547418967587,,0.0,,60.0,62.0,63.0,,,,COOL,COOL,COOL
Alex Killorn,ANA,L,Yellow,67.94717887154862,63.68547418967587,,0.021969974368363236,,60.0,62.0,63.0,,,,COOL,COOL,COOL
Travis Konecny,PHI,R,Yellow,89.07563025210085,94.41776710684273,,0.037698129373125805,,82.0,75.0,78.0,,,,COOL,COOL,COOL
