Player,Team,Pos,Matrix,iXG_pct,iXA_pct,Med10_SOG,i5v5_points60,i5v5_iCF60,Conf_Point,Conf_SOG,Conf_Goal,Reg_P10,Reg_G10,Reg_SOG10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S
Ryker Evans,SEA,D,Red,18.42737094837935,48.67947178871548,,0.07050528789659224,,49.0,29.0,27.0,,,,COOL,COOL,COOL
Jordan Kyrou,STL,R,Yellow,76.05042016806722,63.68547418967587,,0.02975509269855802,,60.0,67.0,69.0,,,,COOL,COOL,COOL
Jordan Kyrou,STL,R,Yellow,76.05042016806722,63.68547418967587,,,,60.0,67.0,69.0,,,,COOL,COOL,COOL
Jordan Kyrou,STL,R,Yellow,76.05042016806722,63.68547418967587,,0.05486968449931413,,60.0,67.0,69.0,,,,COOL,COOL,COOL
Dmitry Orlov,SJS,D,Red,33.31332533013205,89.85594237695078,,0.013896609227348526,,79.0,39.0,38.0,,,,COOL,COOL,COOL
Dmitry Orlov,SJS,D,Red,33.31332533013205,89.85594237695078,,0.0,,79.0,39.0,38.0,,,,COOL,COOL,COOL
Dmitry Orlov,SJS,D,Red,33.31332533013205,89.85594237695078,,0.09349030470914127,,79.0,39.0,38.0,,,,COOL,COOL,COOL
Nick Blankenburg,NSH,D,Red,57.20288115246098,76.53061224489795,,0.018145389936869163,,69.0,55.0,55.0,,,,COOL,COOL,COOL
Nick Blankenburg,NSH,D,Red,57.20288115246098,76.53061224489795,,0.0,,69.0,55.0,55.0,,,,COOL,COOL,COOL
Nick Blankenburg,NSH,D,Red,57.20288115246098,76.53061224489795,,0.10802469135802469,,69.0,55.0,55.0,,,,COOL,COOL,COOL
Mitchell Chaffee,TBL,R,Red,21.368547418967587,7.322929171668667,,0.0,,19.0,31.0,29.0,,,,COOL,COOL,COOL
Mitchell Chaffee,TBL,R,Red,21.368547418967587,7.322929171668667,,,,19.0,31.0,29.0,,,,COOL,COOL,COOL
Mitchell Chaffee,TBL,R,Red,21.368547418967587,7.322929171668667,,0.0,,19.0,31.0,29.0,,,,COOL,COOL,COOL
Michael Rasmussen,DET,C,Yellow,70.40816326530613,59.06362545018007,,0.02465888541837909,,57.0,63.0,65.0,,,,COOL,COOL,COOL
Michael Rasmussen,DET,C,Yellow,70.40816326530613,59.06362545018007,,0.0,,57.0,63.0,65.0,,,,COOL,COOL,COOL
Michael Rasmussen,DET,C,Yellow,70.40816326530613,59.06362545018007,,0.0,,57.0,63.0,65.0,,,,COOL,COOL,COOL
Morgan Frost,CGY,C,Yellow,83.07322929171669,70.88835534213686,,0.02239109784231239,,65.0,71.0,74.0,,,,COOL,COOL,COOL
Morgan Frost,CGY,C,Yellow,83.07322929171669,70.88835534213686,,0.0,,65.0,71.0,74.0,,,,COOL,COOL,COOL
Morgan Frost,CGY,C,Yellow,83.07322929171669,70.88835534213686,,0.04747461426875907,,65.0,71.0,74.0,,,,COOL,COOL,COOL
Colton Sissons,VGK,C,Red,61.644657863145255,31.392557022809125,,0.013894678338196471,,37.0,58.0,58.0,,,,COOL,COOL,COOL
Colton Sissons,VGK,C,Red,61.644657863145255,31.392557022809125,,0.0,,37.0,58.0,58.0,,,,COOL,COOL,COOL
Colton Sissons,VGK,C,Red,61.644657863145255,31.392557022809125,,0.10507880910683012,,37.0,58.0,58.0,,,,COOL,COOL,COOL
Jason Dickinson,CHI,C,Red,46.0984393757503,36.97478991596639,,0.015900357758049558,,41.0,47.0,47.0,,,,COOL,COOL,COOL
Jason Dickinson,CHI,C,Red,46.0984393757503,36.97478991596639,,0.030824556896994607,,41.0,47.0,47.0,,,,COOL,COOL,COOL
Jason Dickinson,CHI,C,Red,46.0984393757503,36.97478991596639,,0.0,,41.0,47.0,47.0,,,,COOL,COOL,COOL
Kasperi Kapanen,EDM,R,Red,8.703481392557023,26.290516206482593,,0.028122802906022967,,33.0,23.0,20.0,,,,COOL,COOL,COOL
Kasperi Kapanen,EDM,R,Red,8.703481392557023,26.290516206482593,,0.0,,33.0,23.0,20.0,,,,COOL,COOL,COOL
Kasperi Kapanen,EDM,R,Red,8.703481392557023,26.290516206482593,,0.0,,33.0,23.0,20.0,,,,COOL,COOL,COOL
Troy Terry,ANA,R,Yellow,91.95678271308523,97.05882352941177,,0.04005461993627674,,84.0,77.0,80.0,,,,COOL,COOL,COOL
Troy Terry,ANA,R,Yellow,91.95678271308523,97.05882352941177,,0.07986688851913477,,84.0,77.0,80.0,,,,COOL,COOL,COOL
Troy Terry,ANA,R,Yellow,91.95678271308523,97.05882352941177,,0.04739336492890995,,84.0,77.0,80.0,,,,COOL,COOL,COOL
Declan Carlile,TBL,D,Red,21.90876350540216,26.290516206482593,,0.00777302759424796,,33.0,32.0,30.0,,,,COOL,COOL,COOL
Declan Carlile,TBL,D,Red,21.90876350540216,26.290516206482593,,0.0,,33.0,32.0,30.0,,,,COOL,COOL,COOL
Declan Carlile,TBL,D,Red,21.90876350540216,26.290516206482593,,0.0,,33.0,32.0,30.0,,,,COOL,COOL,COOL
Trevor van Riemsdyk,WSH,D,Red,32.292917166866744,43.037214885954384,,0.0135074290859973,,45.0,38.0,37.0,,,,COOL,COOL,COOL
