Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points
2026-01-08,FLA@MTL,6:00 PM,2026-01-09T00:00:00Z,Joe Veleno,MTL,C,Healthy,Unknown,,,6,0.0,,FLA,Sergei Bobrovsky,0.8846153846153846,2.8544578879360976,67.1,Confirmed,dailyfaceoff_name_and_stats,56.2,19.2,736.18,27.0,37.4,0.985,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,0.4498875281179705,,,2.4018172640080766,2.21100454316002,50.0,37.1,38.8,37.1,1.37,1.11,,,,,COOL,COOL,COOL,Red,Red,Red,28,56,53,SOG,56,,,,,False
2026-01-08,BUF@NYR,6:00 PM,2026-01-09T00:00:00Z,Taylor Raddysh,NYR,R,Healthy,Unknown,,,5,0.0,,BUF,Colten Ellis,0.8947368421052632,3.252154929047314,64.3,Confirmed,dailyfaceoff_name_and_stats,57.2,36.5,727.07,25.4,43.6,0.992,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,1.348819782690146,,,2.4339364603104876,2.1483808402887714,50.0,39.3,58.0,39.3,2.02,1.05,,,,,COOL,COOL,COOL,Red,Red,Red,38,56,54,SOG,56,,,,,False
2026-01-08,BUF@NYR,6:00 PM,2026-01-09T00:00:00Z,Jonny Brodzinski,NYR,C,Healthy,Unknown,,,5,0.0,,BUF,Colten Ellis,0.8947368421052632,3.252154929047314,64.3,Confirmed,dailyfaceoff_name_and_stats,58.2,42.1,699.21,22.3,45.4,0.994,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,1.721664275466284,,,2.4339364603104876,2.1483808402887714,50.0,39.3,65.0,39.3,3.23,1.52,,,,,COOL,COOL,COOL,Red,Red,Red,42,56,54,SOG,56,,,,,False
2026-01-08,VAN@DET,6:00 PM,2026-01-09T00:00:00Z,Tom Willander,VAN,D,Healthy,Unknown,,,5,0.0,,DET,John Gibson,0.8963503649635036,2.9367158417206674,53.2,Confirmed,dailyfaceoff_name_and_stats,26.6,65.9,872.28,45.0,44.1,0.993,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,1.1584409315795825,,,2.5164946553630667,2.4050866199778844,50.0,57.4,54.0,57.4,3.5,0.4,,,,,COOL,COOL,COOL,Red,Red,Red,56,45,37,POINTS,56,,,,,False
2026-01-08,NYI@NSH,7:00 PM,2026-01-09T01:00:00Z,Tyson Jost,NSH,C,Healthy,Unknown,,,4,0.0,,NYI,David Rittich,0.9070247933884298,2.4825683855643246,25.8,Confirmed,dailyfaceoff_name_and_stats,48.0,36.5,704.34,23.4,39.0,0.987,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,1.245305396323384,,,2.6497569556237877,2.883550725206725,50.0,84.9,55.6,84.9,2.25,1.02,,,,,COOL,COOL,COOL,Red,Red,Red,40,56,48,SOG,56,,,,,False
2026-01-08,NJD@PIT,6:00 PM,2026-01-09T00:00:00Z,Ryan Shea,PIT,D,Healthy,Unknown,,,3,1.0,🟢 ROLE+,NJD,Jake Allen,0.9115755627009646,2.549378106249839,21.4,Confirmed,dailyfaceoff_name_and_stats,32.5,78.8,1154.02,79.6,58.1,1.01,50.0,50.0,50.1,50.1,0.0,0.375,0.2,0.06999999999999999,0.7,4.0,0.0,4.0,0.0,3.0,1.2325752017608218,,,2.5020254096851406,2.485730068127417,50.0,57.6,55.4,57.6,3.89,0.44,0.7,-0.11,0.44,-3.3,COOL,COOL,COOL,Yellow,Red,Red,56,33,29,POINTS,56,,,,,False
2026-01-08,OTT@COL,8:00 PM,2026-01-09T02:00:00Z,Michael Amadio,OTT,R,Healthy,Unknown,,,2,0.0,,COL,Scott Wedgewood,0.9166666666666666,2.201149918475929,4.6,Confirmed,dailyfaceoff_name_and_stats,68.5,61.9,933.19,53.6,63.2,1.016,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,1.5270629489282281,,,2.3093451066961,2.295805739514349,50.0,34.5,61.3,34.5,3.71,1.53,,,,,COOL,COOL,COOL,Red,Red,Red,50,56,54,SOG,56,,,,,False
2026-01-08,OTT@COL,8:00 PM,2026-01-09T02:00:00Z,Thomas Chabot,OTT,D,Healthy,Unknown,,,2,1.0,🟢 ROLE+,COL,Scott Wedgewood,0.9166666666666666,2.201149918475929,4.6,Confirmed,dailyfaceoff_name_and_stats,43.6,69.8,1334.07,93.8,62.8,1.015,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,0.7648725212464589,,,2.3093451066961,2.295805739514349,50.0,34.5,43.9,34.5,5.21,1.08,,,,,COOL,COOL,COOL,Red,Red,Red,56,47,41,POINTS,56,,,,,False
2026-01-08,MIN@SEA,9:00 PM,2026-01-09T03:00:00Z,Jared Spurgeon,MIN,D,Healthy,Unknown,,,0,0.0,,SEA,Philipp Grubauer,0.9263157894736842,2.214751829147716,0.4,Likely,dailyfaceoff_name_and_stats,48.5,61.9,1223.89,85.5,60.6,1.013,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,0.5011833495753863,,,2.539925301049649,2.608023697598042,50.0,75.1,39.6,75.1,2.84,0.76,,,,,COOL,COOL,COOL,Red,Red,Red,54,56,47,SOG,56,,,,,False
2026-01-08,FLA@MTL,6:00 PM,2026-01-09T00:00:00Z,Niko Mikkola,FLA,D,Healthy,Unknown,,,6,1.0,🟢 ROLE+,MTL,Sam Montembeault,0.865,3.477141017385705,90.9,Confirmed,dailyfaceoff_name_and_stats,41.5,42.1,1205.24,84.2,50.3,1.0,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,0.5034026288803952,,,2.3944282566981734,2.132044630800938,50.0,32.3,39.7,32.3,1.79,0.6,,,,,COOL,COOL,COOL,Red,Red,Red,45,55,50,SOG,55,,,,,False
