Date,Game,Player,Team,Pos,Tag,Regression_Heat,Regression_Score,Exp_P_10,L10_P,iXG%,iXA%,Med10_SOG,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,i5v5_oiGF60,opp5v5_xGA60,opp5v5_HDCA60,opp5v5_slotShotsAgainst60,Best_Market,Best_Conf,Best_Color,Conf_Goal,Goal_Color,Conf_SOG,SOG_Color,Conf_Point,Point_Color,Matrix_SOG,Line,Odds,Actual,Hit,Result
2026-01-05,SEA@CGY,John Beecher,CGY,C,,COOL,0.0,1.65,,37.4,26.3,,0.5797101449275363,,,0.8695652173913043,2.4967343515718317,2.5311952019111033,,GOAL,41.0,Red,41.0,Red,41.0,Red,32.0,Red,Red,,,,,
2026-01-05,UTA@NYR,Jaroslav Chmelar,NYR,R,,COOL,0.0,0.78,,14.9,7.3,,0.0,,,0.0,2.3006725398557215,1.9052581869107135,,SOG,25.0,Red,24.0,Red,25.0,Red,18.0,Red,Red,,,,,
2026-01-05,DET@OTT,Simon Edvinsson,DET,D,,COOL,0.0,3.41,,52.1,67.5,,0.7644772886538829,,,2.369879594827037,2.03697721571188,1.5773737929138458,,POINTS,63.0,Yellow,52.0,Gray,51.0,Gray,63.0,Yellow,Red,,,,,
2026-01-05,MIN@LAK,Alex Laferriere,LAK,R,,COOL,-0.71,4.54,6.0,82.7,63.7,0.0,1.8132023798281236,,,2.2665029747851544,2.4001480373485893,1.915233197375421,,GOAL,73.0,Yellow,73.0,Yellow,73.0,Yellow,57.0,Gray,Red,,,,,
2026-01-05,MIN@LAK,Jake Middleton,MIN,D,,COOL,0.0,2.74,,33.8,59.1,,0.8436593725283417,,,2.1091484313208544,2.2119651749720517,1.7683525864697314,,POINTS,57.0,Gray,38.0,Red,39.0,Red,57.0,Gray,Red,,,,,
2026-01-05,ANA@WSH,Dylan McIlrath,WSH,D,,COOL,0.0,0.38,,7.6,7.3,,0.0,,,0.018242626938279112,2.566977363515313,2.1870838881491346,,SOG,20.0,Red,18.0,Red,20.0,Red,18.0,Red,Red,,,,,
2026-01-05,UTA@NYR,Adam Edstrom,NYR,C,,COOL,0.0,1.92,,42.2,26.3,,1.056260544267586,,,2.3765862246020686,2.3006725398557215,1.9052581869107135,,SOG,45.0,Red,44.0,Red,45.0,Red,32.0,Red,Red,,,,,
2026-01-05,MIN@LAK,Jonas Brodin,MIN,D,,COOL,0.0,3.08,,31.6,67.5,,1.0851922274266104,,,2.8381950563465197,2.2119651749720517,1.7683525864697314,,POINTS,63.0,Yellow,36.0,Red,37.0,Red,63.0,Yellow,Red,,,,,
2026-01-05,DET@OTT,Ridly Greig,OTT,C,,COOL,0.0,4.89,6.0,72.7,67.5,0.0,1.5970425138632163,,,2.3955637707948245,2.521235430688774,2.4483478342440375,,SOG,66.0,Yellow,65.0,Yellow,66.0,Yellow,60.0,Gray,Red,,,,,
2026-01-05,SEA@CGY,Jani Nyman,SEA,R,,COOL,0.0,2.57,,56.4,26.3,,1.0279106288814335,,,1.54186594332215,2.418980739040159,2.3092894883438277,,GOAL,55.0,Gray,55.0,Gray,54.0,Gray,32.0,Red,Red,,,,,
2026-01-05,UTA@NYR,Conor Sheary,NYR,L,,COOL,0.0,3.87,,69.1,59.1,,0.8662472929772095,,,0.989996906259668,2.3006725398557215,1.9052581869107135,,GOAL,64.0,Yellow,64.0,Yellow,63.0,Yellow,57.0,Gray,Red,,,,,
2026-01-05,DET@OTT,Stephen Halliday,OTT,C,,COOL,0.0,4.52,,26.8,48.7,,0.030779753761969904,,,0.030779753761969904,2.521235430688774,2.4483478342440375,,POINTS,49.0,Red,33.0,Red,34.0,Red,49.0,Red,Red,,,,,
2026-01-05,UTA@NYR,Dylan Guenther,UTA,R,,COOL,0.0,7.23,11.0,94.4,85.1,0.0,2.4627631456201997,,,3.0224820423520633,2.3089910965539513,2.1589703372237854,,SOG,81.0,Green,74.0,Yellow,81.0,Green,67.0,Yellow,Red,,,,,
2026-01-05,DET@OTT,J.T. Compher,DET,L,,COOL,0.0,3.27,,62.8,63.7,,1.2980769230769231,,,2.0552884615384617,2.03697721571188,1.5773737929138458,,POINTS,60.0,Gray,60.0,Gray,59.0,Gray,60.0,Gray,Red,,,,,
2026-01-05,MIN@LAK,Joel Eriksson Ek,MIN,C,,COOL,0.0,7.93,9.0,92.4,92.7,0.0,1.7357762777242045,,,3.165239094673549,2.2119651749720517,1.7683525864697314,,SOG,80.0,Green,79.0,Green,80.0,Green,79.0,Green,Red,,,,,
2026-01-05,DET@OTT,Lucas Raymond,DET,L,,COOL,0.41,10.41,10.0,84.0,98.9,0.0,2.042842956447723,,,2.3492693999148817,2.03697721571188,1.5773737929138458,,POINTS,88.0,Green,79.0,Green,74.0,Yellow,88.0,Green,Red,,,,,
2026-01-05,SEA@CGY,Ryan Lomberg,CGY,L,,COOL,0.0,1.47,,50.3,26.3,,0.9330776009538126,,,1.8661552019076253,2.4967343515718317,2.5311952019111033,,GOAL,50.0,Gray,50.0,Gray,50.0,Gray,32.0,Red,Red,,,,,
2026-01-05,DET@OTT,Jordan Spence,OTT,D,,WARM,1.42,4.42,3.0,42.6,70.9,0.0,1.4267785190567408,,,3.210251667877667,2.521235430688774,2.4483478342440375,,POINTS,69.0,Yellow,44.0,Red,45.0,Red,69.0,Yellow,Red,,,,,
2026-01-05,DET@OTT,Brady Tkachuk,OTT,L,,COOL,0.12,11.62,10.0,86.3,76.5,0.0,2.5210084033613445,,,2.750190985485103,2.521235430688774,2.4483478342440375,,GOAL,77.0,Green,77.0,Green,75.0,Green,74.0,Yellow,Red,,,,,
2026-01-05,ANA@WSH,Matt Roy,WSH,D,,WARM,1.14,3.14,2.0,38.4,70.9,0.0,0.8895478131949592,,,2.9112473886380483,2.566977363515313,2.1870838881491346,,POINTS,69.0,Yellow,43.0,Red,42.0,Red,69.0,Yellow,Red,,,,,
2026-01-05,UTA@NYR,Kevin Stenlund,UTA,C,,COOL,0.0,2.89,,63.2,54.0,,0.7734727494091528,,,1.5469454988183056,2.3089910965539513,2.1589703372237854,,GOAL,60.0,Gray,60.0,Gray,59.0,Gray,53.0,Gray,Red,,,,,
2026-01-05,UTA@NYR,Mika Zibanejad,NYR,C,,COOL,-0.07,8.69,11.0,97.4,91.4,0.0,1.4388872605185323,,,1.822590529990141,2.3006725398557215,1.9052581869107135,,GOAL,85.0,Green,85.0,Green,83.0,Green,75.0,Green,Red,,,,,
2026-01-05,UTA@NYR,Brennan Othmann,NYR,L,,COOL,0.0,1.28,,19.4,7.3,,0.0,,,0.020401224073444406,2.3006725398557215,1.9052581869107135,,SOG,29.0,Red,27.0,Red,29.0,Red,18.0,Red,Red,,,,,
2026-01-05,UTA@NYR,Scott Morrow,NYR,D,,COOL,0.0,2.2,,15.8,31.4,,0.2744111593871484,,,1.372055796935742,2.3006725398557215,1.9052581869107135,,POINTS,36.0,Red,24.0,Red,26.0,Red,36.0,Red,Red,,,,,
2026-01-05,DET@OTT,Xavier Bourgault,OTT,R,,COOL,0.0,4.0,,13.0,7.3,,0.0,,,0.1488833746898263,2.521235430688774,2.4483478342440375,,SOG,24.0,Red,22.0,Red,24.0,Red,18.0,Red,Red,,,,,
2026-01-05,SEA@CGY,Jared McCann,SEA,L,,COOL,0.0,5.98,,61.9,37.0,,1.6160890644639971,,,2.5857425031423955,2.418980739040159,2.3092894883438277,,GOAL,59.0,Gray,59.0,Gray,58.0,Gray,40.0,Red,Red,,,,,
2026-01-05,SEA@CGY,Zayne Parekh,CGY,D,,COOL,0.0,1.46,,16.9,19.1,,0.0,,,0.03167062549485352,2.4967343515718317,2.5311952019111033,,POINTS,27.0,Red,25.0,Red,27.0,Red,27.0,Red,Red,,,,,
2026-01-05,SEA@CGY,Connor Zary,CGY,C,,COOL,0.01,3.81,7.0,76.1,54.0,0.0,1.1655514785236347,,,1.813080077703432,2.4967343515718317,2.5311952019111033,,GOAL,70.0,Yellow,70.0,Yellow,68.0,Yellow,45.0,Red,Red,,,,,
2026-01-05,ANA@WSH,Aliaksei Protas,WSH,C,,COOL,0.0,6.61,11.0,90.6,82.5,0.0,2.2643986216704044,,,3.7411803314554506,2.566977363515313,2.1870838881491346,,SOG,78.0,Green,73.0,Yellow,78.0,Green,63.0,Yellow,Red,,,,,
2026-01-05,DET@OTT,Fabian Zetterlund,OTT,L,,COOL,0.0,4.25,8.0,81.9,59.1,0.0,1.5128495231937935,,,2.5602068854048814,2.521235430688774,2.4483478342440375,,SOG,72.0,Yellow,70.0,Yellow,72.0,Yellow,47.0,Red,Red,,,,,
2026-01-05,MIN@LAK,Matt Kiersted,MIN,D,,COOL,0.0,3.47,,3.1,19.1,,0.0,,,0.0,2.2119651749720517,1.7683525864697314,,POINTS,27.0,Red,15.0,Red,17.0,Red,27.0,Red,Red,,,,,
2026-01-05,ANA@WSH,Tom Wilson,WSH,R,,COOL,-0.77,9.11,10.0,98.3,91.4,0.0,2.622154779969651,,,3.496206373292868,2.566977363515313,2.1870838881491346,,GOAL,84.0,Green,84.0,Green,84.0,Green,79.0,Green,Red,,,,,
2026-01-05,UTA@NYR,Ian Cole,UTA,D,,COOL,0.0,2.84,,34.6,67.5,,0.7538280329799765,,,2.8268551236749118,2.3089910965539513,2.1589703372237854,,POINTS,63.0,Yellow,38.0,Red,39.0,Red,63.0,Yellow,Red,,,,,
2026-01-05,SEA@CGY,Adam Larsson,SEA,D,,COOL,0.0,1.85,,26.5,48.7,,0.6637780031345072,,,1.4935005070526413,2.418980739040159,2.3092894883438277,,POINTS,49.0,Red,32.0,Red,34.0,Red,49.0,Red,Red,,,,,
2026-01-05,UTA@NYR,Vincent Trocheck,NYR,C,,COOL,-1.33,7.67,9.0,73.1,82.5,0.0,1.9949019173223983,,,2.925856145406184,2.3006725398557215,1.9052581869107135,,POINTS,71.0,Yellow,64.0,Yellow,66.0,Yellow,71.0,Yellow,Red,,,,,
2026-01-05,SEA@CGY,Matty Beniers,SEA,C,,COOL,0.91,6.91,6.0,85.5,86.9,0.0,1.3961992354147044,,,1.8948418194913845,2.418980739040159,2.3092894883438277,,POINTS,80.0,Green,78.0,Green,75.0,Green,80.0,Green,Red,,,,,
2026-01-05,ANA@WSH,Alex Ovechkin,WSH,L,,HOT,2.97,8.49,3.0,97.6,89.9,0.0,2.4489038681549737,,,3.2281005534770104,2.566977363515313,2.1870838881491346,,GOAL,93.0,Green,93.0,Green,83.0,Green,92.0,Green,Red,,,,,
2026-01-05,MIN@LAK,Matt Boldy,MIN,L,,COOL,0.0,9.27,11.0,98.6,93.6,0.0,2.5018041857108493,,,3.367813326918451,2.2119651749720517,1.7683525864697314,,SOG,84.0,Green,77.0,Green,84.0,Green,78.0,Green,Red,,,,,
2026-01-05,DET@OTT,Kurtis MacDermid,OTT,L,,COOL,0.0,0.66,,3.4,19.1,,0.015710919088766692,,,0.015710919088766692,2.521235430688774,2.4483478342440375,,POINTS,27.0,Red,15.0,Red,17.0,Red,27.0,Red,Red,,,,,
2026-01-05,ANA@WSH,Pavel Mintyukov,ANA,D,,COOL,0.0,2.44,,43.5,48.7,,1.021759697256386,,,2.270577105014191,2.53865686440473,2.321588353365094,,POINTS,49.0,Red,45.0,Red,45.0,Red,49.0,Red,Red,,,,,
2026-01-05,SEA@CGY,Shane Wright,SEA,C,,WARM,1.28,4.34,2.0,81.4,59.1,0.0,1.1540105428123664,,,1.6669041173956405,2.418980739040159,2.3092894883438277,,GOAL,77.0,Green,77.0,Green,72.0,Yellow,63.0,Yellow,Red,,,,,
2026-01-05,ANA@WSH,Mason McTavish,ANA,C,,COOL,0.47,7.37,6.0,94.0,85.1,0.0,1.8269202065733305,,,3.0090450461207796,2.53865686440473,2.321588353365094,,GOAL,84.0,Green,84.0,Green,81.0,Green,80.0,Green,Red,,,,,
2026-01-05,MIN@LAK,Marcus Foligno,MIN,L,,COOL,0.0,2.54,,58.2,37.0,,0.7981199840376003,,,1.1173679776526404,2.2119651749720517,1.7683525864697314,,GOAL,56.0,Gray,56.0,Gray,56.0,Gray,40.0,Red,Red,,,,,
2026-01-05,UTA@NYR,Mikhail Sergachev,UTA,D,,COOL,-2.5,6.5,9.0,57.4,94.4,0.0,1.0733698768376871,,,2.0641728400724753,2.3089910965539513,2.1589703372237854,,POINTS,77.0,Green,53.0,Gray,55.0,Gray,77.0,Green,Red,,,,,
2026-01-05,UTA@NYR,Artemi Panarin,NYR,L,,COOL,-2.55,9.45,12.0,90.0,97.6,0.0,2.2457352623623406,,,3.109479594040164,2.3006725398557215,1.9052581869107135,,POINTS,79.0,Green,72.0,Yellow,78.0,Green,79.0,Green,Red,,,,,
2026-01-05,UTA@NYR,Jack McBain,UTA,C,,COOL,0.95,3.38,1.0,78.0,48.7,0.0,1.2314428405281521,,,2.4628856810563042,2.3089910965539513,2.1589703372237854,,GOAL,73.0,Yellow,73.0,Yellow,70.0,Yellow,55.0,Gray,Red,,,,,
2026-01-05,UTA@NYR,Michael Carcone,UTA,L,,COOL,0.0,3.57,4.0,73.2,54.0,0.0,1.7285318559556786,,,2.3933518005540164,2.3089910965539513,2.1589703372237854,,SOG,66.0,Yellow,64.0,Yellow,66.0,Yellow,52.0,Gray,Red,,,,,
2026-01-05,ANA@WSH,Connor McMichael,WSH,C,,HOT,2.5,6.31,4.0,86.9,85.1,0.0,1.9907834101382489,,,2.8755760368663594,2.566977363515313,2.1870838881491346,,GOAL,84.0,Green,84.0,Green,76.0,Green,82.0,Green,Red,,,,,
2026-01-05,MIN@LAK,Brandt Clarke,LAK,D,,COOL,-0.64,4.36,5.0,50.4,79.6,0.0,1.3890675241157557,,,2.50032154340836,2.4001480373485893,1.915233197375421,,POINTS,71.0,Yellow,52.0,Gray,50.0,Gray,71.0,Yellow,Red,,,,,
2026-01-05,UTA@NYR,Carson Soucy,NYR,D,,COOL,0.0,1.29,,36.1,31.4,,0.5991678224687933,,,1.9972260748959778,2.3006725398557215,1.9052581869107135,,GOAL,40.0,Red,40.0,Red,40.0,Red,36.0,Red,Red,,,,,
2026-01-05,UTA@NYR,Matthew Robertson,NYR,D,,COOL,0.0,1.87,,28.1,43.0,,0.8476286579212916,,,1.9374369323915237,2.3006725398557215,1.9052581869107135,,POINTS,45.0,Red,34.0,Red,35.0,Red,45.0,Red,Red,,,,,
2026-01-05,SEA@CGY,Frederick Gaudreau,SEA,C,,COOL,0.0,3.2,,49.5,43.0,,1.043730369654506,,,1.9135056776999275,2.418980739040159,2.3092894883438277,,GOAL,50.0,Gray,50.0,Gray,50.0,Gray,45.0,Red,Red,,,,,
2026-01-05,ANA@WSH,Ian Moore,ANA,D,,COOL,0.0,2.21,,35.8,37.0,,0.9498680738786279,,,2.691292875989446,2.53865686440473,2.321588353365094,,POINTS,40.0,Red,39.0,Red,40.0,Red,40.0,Red,Red,,,,,
2026-01-05,ANA@WSH,Jansen Harkins,ANA,C,,COOL,0.0,0.98,,33.8,7.3,,1.0648787221455334,,,1.4198382961940446,2.53865686440473,2.321588353365094,,SOG,39.0,Red,38.0,Red,39.0,Red,18.0,Red,Red,,,,,
2026-01-05,MIN@LAK,David Jiricek,MIN,D,,COOL,0.0,0.19,,11.7,7.3,,0.0,,,2.307507411265123,2.2119651749720517,1.7683525864697314,,SOG,23.0,Red,21.0,Red,23.0,Red,18.0,Red,Red,,,,,
