Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Cam Fowler,STL,D,Healthy,Unknown,,,4,1.0,🟢 ROLE+,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Likely,dailyfaceoff_name_and_stats,42.5,78.3,1296.61,94.0,65.3,1.018,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,1.0,0.75,0.4,0.79,6.8,3.0,0.0,9.0,0.0,1.0,0.4572105920453824,,,2.2725470531986844,1.8471441565408027,50.0,31.5,37.3,31.5,3.87,0.63,7.9,0.87,0.63,-1.1,COOL,COOL,COOL,Yellow,Red,Red,56,38,36,POINTS,56,,,,,False
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Matt Roy,WSH,D,Healthy,Unknown,,,1,0.0,,CHI,Spencer Knight,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_and_stats,39.3,72.1,1238.68,89.4,60.8,1.013,NONE,False,False,27.83640653943414,2.6350506906066733,92.1,74.8,1.0,1.0,0.8,0.9299999999999999,10.2,3.0,0.0,11.0,0.0,3.0,0.9241234731640533,,,2.7224882251400095,2.530716177056402,50.0,72.6,46.9,72.6,3.3,0.53,9.3,0.3,0.53,-1.7,COOL,COOL,COOL,Yellow,Red,Red,55,43,36,POINTS,55,,,,,False
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Colton Dach,CHI,C,Healthy,Unknown,,,1,0.0,,WSH,Logan Thompson,0.914519906323185,2.3963452998623103,13.1,Confirmed,dailyfaceoff_name_and_stats,61.4,41.6,729.98,24.5,47.1,0.996,NONE,False,False,24.4073515742773,2.2520562068938585,26.8,25.5,,,,,50.0,,,,,,0.7574694908121756,,,2.572238918395425,2.4073234283606064,50.0,53.0,41.2,53.0,2.33,1.17,,,,,COOL,COOL,COOL,Red,Red,Red,38,55,51,SOG,55,,,,,False
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Dalibor Dvorsky,STL,R,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Likely,dailyfaceoff_name_and_stats,58.3,31.5,852.65,40.4,45.3,0.994,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,,,,,50.0,,,,,,0.5894392140810479,,,2.2725470531986844,1.8471441565408027,50.0,31.5,38.6,31.5,2.22,1.34,,,,,COOL,COOL,COOL,Red,Red,Red,33,54,52,SOG,54,,,,,False
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Alex Iafallo,WPG,L,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Likely,dailyfaceoff_name_and_stats,77.8,57.7,894.86,49.0,65.0,1.018,NONE,False,False,24.63831652783867,2.2265088411515417,43.4,8.9,1.0,0.875,1.0,1.0,16.1,3.0,1.0,9.0,1.0,1.0,0.9828680636134052,,,2.2065012955772785,1.743580636568375,50.0,17.2,49.2,17.2,3.97,2.03,10.0,0.97,1.03,1.0,COOL,WARM,WARM,Red,Red,Red,41,49,54,GOAL,54,,,,,False
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Dylan DeMelo,WPG,D,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Likely,dailyfaceoff_name_and_stats,23.4,75.2,1272.6,92.7,55.4,1.006,NONE,False,False,24.63831652783867,2.2265088411515417,43.4,8.9,1.0,0.75,0.8,0.9299999999999999,10.2,2.0,1.0,8.0,1.0,1.0,1.0138208916424765,,,2.2065012955772785,1.743580636568375,50.0,17.2,50.2,17.2,3.36,0.25,9.3,1.36,-0.75,1.3,WARM,COOL,WARM,Yellow,Red,Red,54,24,24,POINTS,54,,,,,False
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Louis Crevier,CHI,D,Healthy,Unknown,,,1,0.0,,WSH,Logan Thompson,0.914519906323185,2.3963452998623103,13.1,Confirmed,dailyfaceoff_name_and_stats,41.6,65.4,932.05,55.0,52.6,1.003,NONE,False,False,24.4073515742773,2.2520562068938585,26.8,25.5,,,,,50.0,,,,,,1.1773100249732429,,,2.572238918395425,2.4073234283606064,50.0,53.0,55.8,53.0,3.01,0.62,,,,,COOL,COOL,COOL,Red,Red,Red,54,47,41,POINTS,54,,,,,False
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Oskar Sundqvist,STL,C,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Likely,dailyfaceoff_name_and_stats,48.1,65.4,792.06,32.5,51.0,1.001,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,,,,,50.0,,,,,,1.8921114243394332,,,2.2725470531986844,1.8471441565408027,50.0,31.5,67.4,31.5,3.92,0.98,,,,,COOL,COOL,COOL,Red,Red,Red,53,48,45,POINTS,53,,,,,False
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Jake Neighbours,STL,L,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Likely,dailyfaceoff_name_and_stats,70.1,52.6,930.34,53.6,60.7,1.013,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,1.0,1.375,1.4,1.14,22.9,2.0,2.0,14.0,0.0,0.0,1.882390797200547,,,2.2725470531986844,1.8471441565408027,50.0,31.5,67.1,31.5,4.35,2.13,11.4,2.35,0.13,-2.6,HOT,COOL,COOL,Red,Red,Red,47,53,51,SOG,53,,,,,False
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Vladislav Namestnikov,WPG,C,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Likely,dailyfaceoff_name_and_stats,68.5,26.5,841.66,38.4,47.8,0.997,NONE,False,False,24.63831652783867,2.2265088411515417,43.4,8.9,,,,,50.0,,,,,,0.6462035541195477,,,2.2065012955772785,1.743580636568375,50.0,17.2,39.6,17.2,2.04,1.56,,,,,COOL,COOL,COOL,Red,Red,Red,27,53,53,SOG,53,,,,,False
