Date,Game,StartTimeLocal,StartTimeUTC,L10_SOG,L10_G,L10_A,L10_P,L5_G,L5_A,N_games_found,Player,Team,Pos,Tier,SD_PlayerID,Shoots,Position_SD,L10_S,Injury_Source,Injury_Status_Final,SD_InjuryStatus,SD_InjuryNotes,Best_Drought_Market,Best_Drought_Count,Best_Drought_Tag,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Team_GF_L5,Team_GF_Avg_L5,Team_GF_Gate,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought_Display,Play_Tag,Plays_Points,Plays_Goal,Goal_ProofCount,Goal_Why,Plays_Assists,Assist_ProofCount,Assist_Why,Plays_SOG,SOG_ProofCount,SOG_Why
2026-01-17,NYR@PHI,12:00 PM,2026-01-17T18:00:00Z,,,,,,,,Noah Laba,NYR,C,,30005883.0,R,C,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,4,0.0,,PHI,Aleksei Kolosov,0.8863636363636364,0.044802867383512544,50.0,Confirmed,dailyfaceoff_name_and_stats,69.5,49.5,A1+A2,13.32,19.0,52.4,1.01,NONE,False,False,50.0,50.0,50.1,50.1,12,2.4,False,,,,,50.0,1.0246355270231808,0.3415451756743936,,,0.0,50.0,50.0,50.0,50.1,50.5,50.1,3.19,1.62,,,,,,,,1.57,,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,53,0,0,SOG,53,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,TOR@WPG,6:00 PM,2026-01-18T00:00:00Z,,,,,,,,Henry Thrun,TOR,D,,30004511.0,L,D,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,5,1.0,🟢 ROLE+,WPG,Connor Hellebuyck,0.9010416666666666,2.7256425582785417,40.9,Confirmed,dailyfaceoff_name_and_stats,4.6,7.2,A1+A2,891.75,97.1,24.0,0.94,NONE,False,False,50.0,50.0,50.1,50.1,17,3.4,True,,,,,50.0,0.0,0.0,,,0.0,50.0,50.0,50.0,50.1,28.1,50.1,0.19,0.19,,,,,,,,0.0,,,Red,Red,Red,Red,31,26,35,24,GOAL,35,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,FLA@WSH,6:00 PM,2026-01-18T00:00:00Z,,,,,,,,Bogdan Trineyev,WSH,R,,30004910.0,R,RW,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,1,0.0,,FLA,Daniil Tarasov,0.9040404040404041,2.8127313101406366,39.2,Unconfirmed,dailyfaceoff_name_and_stats,6.8,7.2,A1+A2,631.5,90.0,23.6,0.94,NONE,False,False,50.0,50.0,50.1,50.1,13,2.6,False,,,,,50.0,0.0,0.0,,,0.0,50.0,50.0,50.0,50.1,28.1,50.1,0.66,0.66,,,,,,,,0.0,,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,25,0,0,SOG,25,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,NYI@CGY,2:00 PM,2026-01-17T20:00:00Z,24.0,1.0,1.0,2.0,0.0,1.0,10.0,Anders Lee,NYI,L,,30000276.0,L,C,24.0,SDIO,Scrambled,Scrambled,Scrambled,GOAL,9,GOAL 9,Healthy,Unknown,,,6,0.0,,CGY,Dustin Wolf,0.8977505112474438,3.0047073748873236,53.2,Confirmed,dailyfaceoff_name_and_stats,97.4,81.1,A1+A2,15.64,36.2,79.5,1.12,NONE,False,False,50.0,50.0,50.1,50.1,19,3.8,True,2.0,2.125,2.8,2.28,65.9,1.84257313722321,0.8727978018425732,,,0.0,50.0,50.0,50.0,50.1,67.9,50.1,8.18,4.37,22.8,6.18,3.37,-1.2,,,,3.81,2.81,,Yellow,Red,Red,Yellow,71,73,74,73,GOAL,74,1.0,1.0,9.0,0.0,,,,🥅 D:9,,False,False,2,,False,3,,False,0,
2026-01-17,LAK@ANA,9:00 PM,2026-01-18T03:00:00Z,22.0,4.0,3.0,7.0,3.0,1.0,10.0,Quinton Byfield,LAK,R,,30004798.0,L,RW,22.0,SDIO,Scrambled,Scrambled,Scrambled,ASSISTS,3,ASSISTS 3,Healthy,Unknown,,,0,0.0,,ANA,Ville Husso,0.8837209302325582,3.330557868442964,81.7,Unconfirmed,dailyfaceoff_name_and_stats,89.0,86.1,A1+A2,20.12,65.6,83.3,1.13,NONE,False,False,50.0,50.0,50.1,50.1,10,2.0,False,2.0,2.25,2.6,2.21,63.0,1.073318591766255,0.5366592958831276,,,0.0,50.0,50.0,50.0,50.1,52.1,50.1,7.84,3.16,22.1,0.84,-0.84,0.1,,,,4.68,1.68,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,70,0,0,SOG,70,0.0,3.0,0.0,0.0,,,,🅰️ D:3,,False,False,1,,False,2,,False,0,
2026-01-17,TOR@WPG,6:00 PM,2026-01-18T00:00:00Z,14.0,4.0,4.0,8.0,4.0,1.0,10.0,Jonathan Toews,WPG,C,,30000872.0,L,C,14.0,SDIO,Scrambled,Scrambled,Scrambled,SOG,1,SOG 1,Healthy,Unknown,,,3,0.0,,TOR,Dennis Hildeby,0.9088983050847458,2.9721219568389525,37.0,Confirmed,dailyfaceoff_name_and_stats,82.8,66.7,A1+A2,15.12,31.8,67.0,1.07,NONE,False,False,50.0,50.0,50.1,50.1,23,4.6,True,1.0,1.375,1.8,1.28,20.9,1.3515855137757755,0.5198405822214521,,,0.0,50.0,50.0,50.0,50.1,58.1,50.1,4.99,2.43,12.8,-3.01,-1.57,-1.2,,,,2.55,-1.45,,Red,Red,Red,Red,47,56,73,55,GOAL,73,0.0,0.0,0.0,1.0,,,,🎯 D:1,,False,False,0,,False,1,,False,0,
2026-01-17,BOS@CHI,7:00 PM,2026-01-18T01:00:00Z,14.0,2.0,3.0,5.0,1.0,1.0,10.0,Mason Lohrei,BOS,D,,30004858.0,L,D,14.0,SDIO,Scrambled,Scrambled,Scrambled,GOAL,4,GOAL 4,Healthy,Unknown,,,4,0.0,,CHI,Arvid Soderblom,0.8725490196078431,3.8666501425207587,100.0,Likely,dailyfaceoff_name_and_stats,38.1,78.2,A1+A2,16.74,43.0,53.1,1.01,NONE,False,False,50.0,50.0,50.1,50.1,22,4.4,True,1.5,1.375,1.6,1.5350000000000001,27.0,1.3183019015981794,0.6591509507990897,,,0.0,50.0,50.0,50.0,50.1,57.5,50.1,4.08,0.55,15.35,-0.92,-1.45,1.35,,,,3.53,0.53,,Yellow,Red,Red,Yellow,59,34,45,61,ASSISTS,61,1.0,1.0,4.0,0.0,,,,🥅 D:4,,False,False,2,,False,1,,False,0,
2026-01-17,NSH@VGK,9:00 PM,2026-01-18T03:00:00Z,,,,,,,,Jaycob Megna,VGK,D,,30000881.0,L,D,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,5,1.0,🟢 ROLE+,NSH,Justus Annunen,0.8817567567567568,3.171806167400881,79.9,Unconfirmed,dailyfaceoff_name_and_stats,0.8,7.2,A1+A2,629.33,89.9,20.8,0.94,NONE,False,False,50.0,50.0,50.1,50.1,25,5.0,True,,,,,50.0,0.0,0.0,,,0.0,50.0,50.0,50.0,50.1,28.1,50.1,0.0,0.0,,,,,,,,0.0,,,Red,Red,Red,Red,33,24,37,25,GOAL,37,,,,,,,,,,False,False,1,,False,0,,False,0,
2026-01-17,LAK@ANA,9:00 PM,2026-01-18T03:00:00Z,,,,,,,,Joel Edmundson,LAK,D,,30000675.0,L,D,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,0,0.0,,ANA,Ville Husso,0.8837209302325582,3.330557868442964,81.7,Unconfirmed,dailyfaceoff_name_and_stats,42.5,75.4,A1+A2,18.32,54.3,56.3,1.02,NONE,False,False,50.0,50.0,50.1,50.1,10,2.0,False,,,,,50.0,1.0186757215619695,0.08488964346349745,,,0.0,50.0,50.0,50.0,50.1,50.4,50.1,3.69,0.64,,,,,,,,3.05,,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,41,0,0,SOG,41,,,,,,,,,,False,False,1,,False,0,,False,0,
2026-01-17,CAR@NJD,6:00 PM,2026-01-18T00:00:00Z,,,,,,,,Xavier Parent,NJD,C,,30005864.0,L,RW,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,CAR,Frederik Andersen,0.8626609442060086,3.372562796416652,88.0,Unconfirmed,dailyfaceoff_name_and_stats,9.0,7.2,A1+A2,514.4,84.2,23.4,0.94,NONE,False,False,50.0,50.0,50.1,50.1,12,2.4,False,,,,,50.0,0.0,0.0,,,0.0,50.0,50.0,50.0,50.1,28.1,50.1,0.41,0.41,,,,,,,,0.0,,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,28,0,0,SOG,28,,,,,,,,,,False,False,1,,False,0,,False,0,
2026-01-17,EDM@VAN,9:00 PM,2026-01-18T03:00:00Z,,,,,,,,Vasily Podkolzin,EDM,R,,30004476.0,L,RW,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,2,0.0,,VAN,Kevin Lankinen,0.8867924528301887,3.365695792880259,78.4,Likely,dailyfaceoff_name_and_stats,75.2,63.0,A1+A2,15.5,34.9,62.9,1.05,NONE,False,False,50.0,50.0,50.1,50.1,14,2.8,True,,,,,50.0,1.7551557700745941,0.43878894251864853,,,0.0,50.0,50.0,50.0,50.1,66.2,50.1,4.09,1.9,,,,,,,,2.19,,,Red,Yellow,Red,Red,58,57,77,57,GOAL,77,,,,,,,,,,False,False,1,,False,1,,False,0,
2026-01-17,MTL@OTT,6:00 PM,2026-01-18T00:00:00Z,,,,,,,,Alexandre Carrier,MTL,D,,30002825.0,R,D,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,5,0.0,,OTT,Leevi Merilainen,0.8806404657933042,2.95344718912267,75.3,Likely,dailyfaceoff_name_fallback_stats,31.8,66.7,A1+A2,19.71,62.7,50.2,1.0,NONE,False,False,50.0,50.0,50.1,50.1,17,3.4,True,,,,,50.0,1.1048270419571222,0.47349730369590953,,,0.0,50.0,50.0,50.0,50.1,53.1,50.1,2.68,0.38,,,,,,,,2.29,,,Red,Red,Red,Red,61,36,52,53,POINTS,61,,,,,,,,,,False,False,1,,False,1,,False,0,
2026-01-17,EDM@VAN,9:00 PM,2026-01-18T03:00:00Z,,,,,,,,Elias Pettersson,VAN,D,,30003647.0,L,C,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,4,0.0,,EDM,Tristan Jarry,0.902834008097166,2.7947146253497435,40.3,Confirmed,dailyfaceoff_name_and_stats,21.0,39.9,A1+A2,13.66,20.1,27.4,0.94,NONE,False,False,50.0,50.0,50.1,50.1,6,1.2,False,,,,,50.0,0.7749991030102974,0.0,,,0.0,50.0,50.0,50.0,50.1,44.4,50.1,1.46,0.22,,,,,,,,1.24,,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,27,0,0,SOG,27,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,EDM@VAN,9:00 PM,2026-01-18T03:00:00Z,,,,,,,,Quinn Hutson,EDM,R,,30006848.0,R,RW,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,VAN,Kevin Lankinen,0.8867924528301887,3.365695792880259,78.4,Likely,dailyfaceoff_name_and_stats,9.0,7.2,A1+A2,479.75,82.9,23.1,0.94,NONE,False,False,50.0,50.0,50.1,50.1,14,2.8,True,,,,,50.0,0.031266284523189164,0.0,,,0.0,50.0,50.0,50.0,50.1,34.8,50.1,0.52,0.52,,,,,,,,0.0,,,Red,Red,Red,Red,33,27,41,27,GOAL,41,,,,,,,,,,False,False,1,,False,0,,False,0,
2026-01-17,LAK@ANA,9:00 PM,2026-01-18T03:00:00Z,,,,,,,,Jeff Malott,LAK,L,,30004969.0,L,LW,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,0,0.0,,ANA,Ville Husso,0.8837209302325582,3.330557868442964,81.7,Unconfirmed,dailyfaceoff_name_and_stats,65.0,18.8,A1+A2,9.14,1.7,36.2,0.94,NONE,False,False,50.0,50.0,50.1,50.1,10,2.0,False,,,,,50.0,0.8585738134986883,0.0,,,0.0,50.0,50.0,50.0,50.1,46.1,50.1,2.16,1.86,,,,,,,,0.3,,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,49,0,0,SOG,49,,,,,,,,,,False,False,1,,False,0,,False,0,
2026-01-17,LAK@ANA,9:00 PM,2026-01-18T03:00:00Z,23.0,3.0,3.0,6.0,1.0,1.0,10.0,Mason McTavish,ANA,C,,30004997.0,L,C,23.0,SDIO,Scrambled,Scrambled,Scrambled,SOG,6,SOG 6,Healthy,Unknown,,,3,0.0,,LAK,Anton Forsberg,0.9006928406466512,2.649278636340299,39.2,Unconfirmed,dailyfaceoff_name_and_stats,93.4,83.4,A1+A2,16.38,40.2,79.3,1.12,NONE,False,False,50.0,50.0,50.1,50.1,13,2.6,False,2.0,2.125,1.6,1.8599999999999999,40.2,1.6948709230246122,0.7532759657887166,,,0.0,50.0,50.0,50.0,50.1,65.2,50.1,7.72,3.68,18.6,1.72,0.68,-4.4,,,,4.04,1.04,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,74,0,0,SOG,74,2.0,3.0,2.0,6.0,,,,🎯 D:6,,False,False,2,,False,3,,False,1,
2026-01-17,NYR@PHI,12:00 PM,2026-01-17T18:00:00Z,22.0,3.0,5.0,8.0,2.0,1.0,10.0,Alexis Lafrenire,NYR,L,,,,,22.0,,,,,SOG,4,SOG 4,Healthy,Unknown,,,4,0.0,,PHI,Aleksei Kolosov,0.8863636363636364,0.044802867383512544,50.0,Confirmed,dailyfaceoff_name_and_stats,84.6,81.1,A1+A2,17.23,46.3,75.7,1.1,NONE,False,False,50.0,50.0,50.1,50.1,12,2.4,False,2.0,2.0,1.6,1.8599999999999999,40.2,1.3664183707358732,0.3416045926839683,,,0.0,50.0,50.0,50.0,50.1,58.5,50.1,6.21,2.53,18.6,-1.79,-0.47,-3.4,,,,3.68,-1.32,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,67,0,0,SOG,67,0.0,0.0,0.0,4.0,,,,🎯 D:4,,False,False,0,,False,0,,False,1,
2026-01-17,SEA@UTA,4:00 PM,2026-01-17T22:00:00Z,,,,,,,,Jared McCann,SEA,L,,30000929.0,L,LW,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,1,0.0,,UTA,Karel Vejmelka,0.9015486725663717,2.5338679446724717,34.8,Unconfirmed,dailyfaceoff_name_and_stats,74.3,59.4,A1+A2,16.59,41.5,62.5,1.05,NONE,False,False,50.0,50.0,50.1,50.1,12,2.4,False,,,,,50.0,1.7027314650585315,1.0642071656615821,,,0.0,50.0,50.0,50.0,50.1,65.4,50.1,8.34,4.04,,,,,,,,4.3,,,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,57,0,0,SOG,57,,,,,,,,,,False,False,0,,False,2,,False,0,
2026-01-17,TOR@WPG,6:00 PM,2026-01-18T00:00:00Z,,,,,,,,Jacob Quillan,TOR,C,,30006463.0,L,C,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,5,1.0,🟢 ROLE+,WPG,Connor Hellebuyck,0.9010416666666666,2.7256425582785417,40.9,Confirmed,dailyfaceoff_name_and_stats,1.8,7.2,A1+A2,486.33,83.1,20.0,0.94,NONE,False,False,50.0,50.0,50.1,50.1,17,3.4,True,,,,,50.0,0.0,0.0,,,0.0,50.0,50.0,50.0,50.1,28.1,50.1,0.03,0.03,,,,,,,,0.0,,,Red,Red,Red,Red,29,24,33,22,GOAL,33,,,,,,,,,,False,False,0,,False,0,,False,0,
