Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Robby Fabbri,STL,C,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Confirmed,dailyfaceoff_name_and_stats,24.0,31.5,A1+A2,763.0,27.0,27.2,0.973,NONE,False,False,23.98259766156077,2.2688298740143207,9.5,43.1,,,,,50.0,,,,,,,0.02706766917293233,0.02706766917293233,,,0.0,2.2725470531986844,1.8471441565408027,50.0,31.4,33.2,31.4,4.42,1.18,,,,,COOL,COOL,COOL,3.24,,COOL,Red,Red,Red,Red,31,36,31,37,ASSISTS,37,,,,,False,False,0,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Dylan McIlrath,WSH,D,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.7916666666666666,0.08333333333333333,50.0,Confirmed,dailyfaceoff_name_and_stats,8.3,7.4,A1+A2,582.0,10.5,8.4,0.95,NONE,False,False,27.749159629108792,2.6308910563480903,92.1,75.0,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.7166179020786703,2.5301563777205676,50.0,72.7,27.8,72.7,0.26,0.26,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,22,36,25,30,SOG,36,,,,,False,False,1,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Logan Mailloux,STL,D,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Confirmed,dailyfaceoff_name_and_stats,23.4,19.2,A1+A2,805.97,32.9,23.8,0.969,NONE,False,False,23.98259766156077,2.2688298740143207,9.5,43.1,,,,,50.0,,,,,,,0.15901060070671377,0.0,,,0.0,2.2725470531986844,1.8471441565408027,50.0,31.4,35.2,31.4,0.68,0.35,,,,,COOL,COOL,COOL,0.33,,COOL,Red,Red,Red,Red,26,36,31,31,SOG,36,,,,,False,False,0,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Luke Schenn,WPG,D,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9052924791086351,2.5019930091371805,28.7,Confirmed,dailyfaceoff_name_and_stats,20.9,36.4,A1+A2,819.0,34.2,29.0,0.975,NONE,False,False,24.469425101599448,2.2296266368800057,43.8,8.9,,,,,50.0,,,,,,,0.8494572911750826,0.5096743747050495,,,0.0,2.2100835040176463,1.7299511580274145,50.0,17.2,45.1,17.2,1.58,0.28,,,,,COOL,COOL,COOL,1.3,,COOL,Red,Red,Red,Red,33,30,26,36,ASSISTS,36,,,,,False,False,1,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Bogdan Trineyev,WSH,R,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.7916666666666666,0.08333333333333333,50.0,Confirmed,dailyfaceoff_name_and_stats,7.2,7.4,A1+A2,631.5,15.8,9.0,0.951,NONE,False,False,27.749159629108792,2.6308910563480903,92.1,75.0,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.7166179020786703,2.5301563777205676,50.0,72.7,27.8,72.7,0.67,0.67,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,22,35,25,31,SOG,35,,,,,False,False,1,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Matthew Kessel,STL,D,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Confirmed,dailyfaceoff_name_and_stats,18.9,19.2,A1+A2,719.0,22.4,19.7,0.964,NONE,False,False,23.98259766156077,2.2688298740143207,9.5,43.1,,,,,50.0,,,,,,,0.7759178101875135,0.2586392700625045,,,0.0,2.2725470531986844,1.8471441565408027,50.0,31.4,42.8,31.4,0.81,0.33,,,,,COOL,COOL,COOL,0.48,,COOL,Red,Red,Red,Red,26,33,27,31,SOG,33,,,,,False,False,0,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Brett Leason,WSH,R,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.7916666666666666,0.08333333333333333,50.0,Confirmed,dailyfaceoff_name_and_stats,3.4,7.4,A1+A2,491.5,2.0,4.5,0.945,NONE,False,False,27.749159629108792,2.6308910563480903,92.1,75.0,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.7166179020786703,2.5301563777205676,50.0,72.7,27.8,72.7,0.14,0.14,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,21,32,22,30,SOG,32,,,,,False,False,1,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Sam Lafferty,CHI,C,Healthy,Unknown,,,1,0.0,,WSH,Logan Thompson,0.9157175398633257,2.3519648264719644,10.2,Confirmed,dailyfaceoff_name_and_stats,19.5,19.2,A1+A2,540.94,4.6,16.4,0.96,NONE,False,False,24.311502585923712,2.2438636832415337,27.0,25.7,,,,,50.0,,,,,,,0.013136288998357963,0.0,,,0.0,2.5572542620152356,2.409439226332373,50.0,53.0,31.9,53.0,0.97,0.41,,,,,COOL,COOL,COOL,0.56,,COOL,Red,Red,Red,Red,23,32,25,29,SOG,32,,,,,False,False,0,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Dominic Toninato,CHI,C,Healthy,Unknown,,,1,0.0,,WSH,Logan Thompson,0.9157175398633257,2.3519648264719644,10.2,Confirmed,dailyfaceoff_name_and_stats,18.9,19.2,A1+A2,551.8,9.2,17.1,0.96,NONE,False,False,24.311502585923712,2.2438636832415337,27.0,25.7,,,,,50.0,,,,,,,0.02184200946487077,0.02184200946487077,,,0.0,2.5572542620152356,2.409439226332373,50.0,53.0,32.6,53.0,3.23,1.31,,,,,COOL,COOL,COOL,1.92,,COOL,Red,Red,Red,Red,24,32,25,30,SOG,32,,,,,False,False,0,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Kevin Rooney,UTA,C,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,6.6,7.4,A1+A2,584.0,11.2,7.8,0.949,NONE,False,False,27.399304988688574,2.663246029339739,75.3,91.8,,,,,50.0,,,,,,,0.10273972602739725,0.0,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.1,34.9,57.1,1.23,1.23,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,21,31,22,31,ASSISTS,31,,,,,False,False,1,
