Date,Game,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,iXG%,iXA%,Med10_SOG,Trim10_SOG,Avg5_SOG,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,i5v5_oiGF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result
2026-01-05,UTA@NYR,J.T. Miller,NYR,C,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,88.4,73.6,3.0,2.625,2.8,8.0,3.0,25.0,3.0,1.0,1.3651877133105803,,,1.9340159271899886,,,,50.0,54.5,50.0,6.61,3.18,26.25,-1.39,0.18,1.25,COOL,COOL,WARM,Yellow,Yellow,Yellow,59,74,75,GOAL,75,,,
2026-01-05,DET@OTT,Patrick Kane,DET,R,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,72.4,88.4,3.0,2.625,2.8,8.0,3.0,26.0,1.0,2.0,2.1109607577807847,,,3.085250338294993,,,,50.0,70.2,50.0,8.95,2.52,26.25,0.95,-0.48,0.25,COOL,COOL,COOL,Green,Red,Red,74,67,60,POINTS,74,,,
2026-01-05,DET@OTT,James van Riemsdyk,DET,L,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,88.7,26.3,1.0,1.5,1.0,4.0,3.0,18.0,2.0,1.0,1.2178031218286378,,,1.5657468709225342,,,,50.0,49.6,50.0,3.88,3.29,15.0,-0.12,0.29,-3.0,COOL,COOL,COOL,Red,Red,Yellow,33,66,74,GOAL,74,,,
2026-01-05,SEA@CGY,Blake Coleman,CGY,L,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,89.0,59.1,2.5,2.5,2.6,8.0,5.0,25.0,3.0,1.0,1.777997283615261,,,2.7781207556488456,,,,50.0,64.7,50.0,4.69,2.74,25.0,-3.31,-2.26,0.0,COOL,COOL,COOL,Red,Red,Yellow,52,71,74,GOAL,74,,,
2026-01-05,ANA@WSH,Beckett Sennecke,ANA,R,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,90.5,88.4,1.5,1.875,2.6,5.0,3.0,21.0,2.0,1.0,2.3796522488863343,,,2.896967955165972,,,,50.0,69.7,50.0,7.34,2.95,18.75,2.34,-0.05,-2.25,HOT,COOL,COOL,Green,Red,Yellow,74,64,69,POINTS,74,,,
2026-01-05,DET@OTT,Moritz Seider,DET,D,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,51.1,95.3,2.0,2.0,1.8,9.0,3.0,20.0,1.0,1.0,1.0038640799904395,,,3.011592239971318,,,,50.0,58.0,50.0,6.4,0.82,20.0,-2.6,-2.18,0.0,COOL,COOL,COOL,Green,Red,Red,73,51,47,POINTS,73,,,
2026-01-05,DET@OTT,Emmitt Finnie,DET,C,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,91.6,67.5,2.0,1.75,1.6,4.0,2.0,20.0,0.0,0.0,0.8901098901098901,,,2.1758241758241756,,,,50.0,48.6,50.0,5.22,2.9,17.5,1.22,0.9,-2.5,WARM,COOL,COOL,Red,Red,Yellow,59,73,67,SOG,73,,,
2026-01-05,DET@OTT,Drake Batherson,OTT,R,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,89.3,93.6,1.0,1.75,2.6,9.0,3.0,19.0,2.0,1.0,2.409101048405086,,,2.867977438577483,,,,50.0,69.8,50.0,9.05,3.1,17.5,0.05,0.1,-1.5,COOL,COOL,COOL,Green,Red,Yellow,73,65,72,POINTS,73,,,
2026-01-05,DET@OTT,Dylan Cozens,OTT,C,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,90.8,89.9,2.5,2.75,2.2,8.0,2.0,27.0,0.0,3.0,1.3353941267387945,,,2.003091190108192,,,,50.0,54.6,50.0,7.78,3.03,27.5,-0.22,1.03,0.5,COOL,WARM,COOL,Yellow,Red,Yellow,68,73,65,SOG,73,,,
2026-01-05,UTA@NYR,Adam Fox,NYR,D,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,53.8,95.3,1.0,1.125,0.8,12.0,1.0,13.0,1.0,6.0,1.5299153082597214,,,2.841271286768054,,,,50.0,63.6,50.0,9.58,1.31,11.25,-2.42,0.31,-1.75,COOL,COOL,COOL,Green,Red,Red,73,45,46,POINTS,73,,,
2026-01-05,UTA@NYR,Clayton Keller,UTA,R,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,94.5,94.4,2.5,2.75,3.0,8.0,3.0,28.0,2.0,4.0,1.5328117515567619,,,2.8740220341689287,,,,50.0,64.0,50.0,8.92,3.44,27.5,0.92,0.44,-0.5,COOL,COOL,COOL,Green,Red,Yellow,73,71,71,POINTS,73,,,
2026-01-05,MIN@LAK,Adrian Kempe,LAK,R,MIN,Filip Gustavsson,0.9122085048010974,2.4518202424152133,17.8,91.4,89.9,2.0,2.25,3.0,6.0,4.0,24.0,1.0,2.0,1.8580112398210804,,,2.4773483197614405,,,,50.0,63.8,50.0,7.84,3.08,22.5,1.84,-0.92,-1.5,WARM,COOL,COOL,Green,Red,Yellow,73,67,66,POINTS,73,,,
