Date,Game,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points
2026-01-05,SEA@CGY,Nazem Kadri,CGY,C,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,88.0,95.3,1181.59,82.6,89.5,1.047,2.0,2.0,1.8,1.9300000000000002,53.5,6.0,2.0,21.0,0.0,1.0,1.7787049490818259,,,2.4967343515718317,2.5311952019111033,50.0,72.6,66.1,72.6,8.95,2.82,19.3,2.95,0.82,-1.7,HOT,COOL,COOL,Green,Red,Yellow,84,74,67,POINTS,84,,,,🔥 HOT POINTS,True
2026-01-05,MIN@LAK,Kirill Kaprizov,MIN,L,LAK,Darcy Kuemper,0.9107981220657277,2.3303087772692685,16.3,99.4,96.3,1331.51,93.1,97.1,1.056,3.5,3.875,3.4,3.465,95.0,12.0,4.0,40.0,2.0,4.0,1.7950228910747472,,,2.2119651749720517,1.7683525864697314,50.0,21.9,66.7,21.9,10.98,4.84,34.65,-1.02,0.84,-5.35,COOL,COOL,COOL,Green,Green,Yellow,70,84,73,SOG,84,,,,,False
2026-01-05,MIN@LAK,Matt Boldy,MIN,L,LAK,Darcy Kuemper,0.9107981220657277,2.3303087772692685,16.3,98.6,93.6,1262.77,90.3,95.2,1.054,3.5,3.375,3.8,3.6049999999999995,96.0,11.0,8.0,33.0,4.0,1.0,2.5018041857108493,,,2.2119651749720517,1.7683525864697314,50.0,21.9,73.6,21.9,9.78,4.38,36.05,-1.22,-3.62,3.05,COOL,COOL,HOT,Green,Green,Yellow,70,84,80,SOG,84,,,,,False
2026-01-05,ANA@WSH,Cutter Gauthier,ANA,L,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,92.4,89.9,1063.37,68.8,86.8,1.044,3.0,3.5,5.0,3.7,98.0,4.0,3.0,38.0,1.0,1.0,2.605448281851605,,,2.53865686440473,2.321588353365094,50.0,74.6,74.6,74.6,8.17,3.33,37.0,4.17,0.33,-1.0,HOT,COOL,COOL,Green,Yellow,Yellow,83,84,69,SOG,84,,,,🔥 HOT POINTS,True
2026-01-05,ANA@WSH,Mason McTavish,ANA,C,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,94.0,85.1,988.29,56.3,83.3,1.04,3.0,2.875,3.6,3.21,93.1,6.0,3.0,29.0,2.0,2.0,1.8269202065733305,,,2.53865686440473,2.321588353365094,50.0,74.6,67.5,74.6,7.67,3.61,32.1,1.67,0.61,3.1,WARM,COOL,HOT,Green,Yellow,Yellow,71,83,73,SOG,83,,,,,False
2026-01-05,UTA@NYR,Dylan Guenther,UTA,R,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,94.4,85.1,1035.86,64.0,85.0,1.042,3.5,3.5,4.0,3.675,97.0,11.0,7.0,34.0,4.0,4.0,2.4627631456201997,,,2.3089910965539513,2.1589703372237854,50.0,41.9,73.4,41.9,7.54,3.57,36.75,-3.46,-3.43,2.75,COOL,COOL,HOT,Green,Green,Yellow,65,82,78,SOG,82,,,,,False
2026-01-05,DET@OTT,Dylan Cozens,OTT,C,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,90.8,89.9,1060.62,67.6,85.8,1.043,2.5,2.75,2.2,2.395,73.3,8.0,2.0,27.0,0.0,3.0,1.3353941267387945,,,2.521235430688774,2.4483478342440375,50.0,73.6,58.0,73.6,8.12,3.16,23.95,0.12,1.16,-3.05,COOL,WARM,COOL,Green,Red,Yellow,71,81,69,SOG,81,,,,,False
2026-01-05,UTA@NYR,J.T. Miller,NYR,C,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,88.4,73.6,1245.91,89.5,83.4,1.04,3.0,2.625,2.8,2.93,87.6,8.0,3.0,25.0,3.0,1.0,1.3651877133105803,,,2.3006725398557215,1.9052581869107135,50.0,30.4,58.8,30.4,6.87,3.31,29.3,-1.13,0.31,4.3,COOL,COOL,HOT,Yellow,Yellow,Yellow,59,81,75,SOG,81,,,,,False
2026-01-05,DET@OTT,Jake Sanderson,OTT,D,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,65.5,92.7,1512.92,99.6,81.8,1.038,1.5,1.375,1.2,1.395,29.2,5.0,2.0,13.0,1.0,2.0,1.3624107100619707,,,2.521235430688774,2.4483478342440375,50.0,73.6,58.6,73.6,6.87,1.42,13.95,1.87,-0.58,0.95,WARM,COOL,COOL,Green,Red,Red,80,59,59,POINTS,80,,,,,False
2026-01-05,UTA@NYR,Mika Zibanejad,NYR,C,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,97.4,91.4,1245.4,89.1,93.6,1.052,1.5,1.375,1.4,1.465,32.2,11.0,4.0,17.0,3.0,5.0,1.4388872605185323,,,2.3006725398557215,1.9052581869107135,50.0,30.4,60.8,30.4,9.14,4.13,14.65,-1.86,0.13,-2.35,COOL,COOL,COOL,Green,Red,Yellow,69,70,80,GOAL,80,,,,,False
