Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Tier,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why
2026-01-10,VAN@TOR,6:00 PM,2026-01-11T00:00:00Z,Nicholas Robertson,TOR,L,,Healthy,Unknown,,,4,0.0,,VAN,Thatcher Demko,0.899803536345776,2.7923105000608346,44.4,Confirmed,dailyfaceoff_name_and_stats,77.0,72.1,A1+A2,756.44,29.4,65.8,1.019,NONE,False,False,25.058712106628885,2.3085061330089087,38.1,34.9,,,,,50.0,,,,,,,2.201676439903587,0.5180415152714322,,,0.0,2.6736109444377774,2.4768990759630385,50.0,76.0,70.8,76.0,5.04,2.06,,,,,COOL,COOL,COOL,2.98,,COOL,Yellow,Yellow,Red,Yellow,61,71,67,64,SOG,71,,,,,,,,,,False,False,2,
2026-01-10,SEA@CAR,6:00 PM,2026-01-11T00:00:00Z,Jordan Staal,CAR,C,,Healthy,Unknown,,,3,0.0,,SEA,Joey Daccord,0.9012517385257302,2.8216903647443257,43.3,Unconfirmed,dailyfaceoff_name_and_stats,74.4,52.3,A1+A2,943.05,54.4,62.7,1.015,NONE,False,False,30.121501956387434,2.953115346772533,94.9,94.9,,,,,50.0,,,,,,,1.634771326629906,0.46707752189425883,,,0.0,2.5118510158013545,2.5677200902934536,50.0,70.5,63.1,70.5,3.7,1.97,,,,,COOL,COOL,COOL,1.73,,COOL,Red,Yellow,Red,Red,51,71,66,61,SOG,71,,,,,,,,,,False,False,2,
2026-01-10,SEA@CAR,6:00 PM,2026-01-11T00:00:00Z,Sean Walker,CAR,D,,Healthy,Unknown,,,3,1.0,🟢 ROLE+,SEA,Joey Daccord,0.9012517385257302,2.8216903647443257,43.3,Unconfirmed,dailyfaceoff_name_and_stats,64.7,57.6,A1+A2,1365.59,95.9,68.4,1.022,NONE,False,False,30.121501956387434,2.953115346772533,94.9,94.9,,,,,50.0,,,,,,,0.5203278891619004,0.1486651111891144,,,0.0,2.5118510158013545,2.5677200902934536,50.0,70.5,38.9,70.5,3.15,1.29,,,,,COOL,COOL,COOL,1.86,,COOL,Red,Red,Red,Red,57,71,64,65,SOG,71,,,,,,,,,,False,False,1,
2026-01-10,NYI@MIN,7:00 PM,2026-01-11T01:00:00Z,Mats Zuccarello,MIN,R,,Healthy,Unknown,,,0,0.0,,NYI,Ilya Sorokin,0.9152777777777777,2.4456249373559187,13.4,Likely,dailyfaceoff_name_and_stats,60.9,81.3,A1+A2,1091.6,73.7,70.6,1.025,NONE,False,False,25.957076993327345,2.398444519730737,45.7,48.4,2.5,2.0,2.6,2.535,72.7,8.0,3.0,21.0,2.0,2.0,5.0,2.3916860437526695,1.1958430218763347,,,0.0,2.637052473510416,2.840878619093953,50.0,82.6,72.6,82.6,8.2,2.05,25.35,0.2,-0.95,4.35,COOL,COOL,HOT,6.15,1.15,COOL,Yellow,Red,Red,Yellow,61,71,55,71,ASSISTS,71,0.0,2.0,0.0,0.0,,,,🅰️ D:2,,False,False,2,
2026-01-10,FLA@OTT,6:00 PM,2026-01-11T00:00:00Z,Ridly Greig,OTT,C,,Healthy,Unknown,,,1,0.0,,FLA,Sergei Bobrovsky,0.8807212205270458,2.929460188295406,74.5,Confirmed,dailyfaceoff_name_and_stats,74.3,65.3,A1+A2,998.03,61.5,68.6,1.022,NONE,False,False,26.92796985458703,2.457141016763555,69.9,58.3,,,,,50.0,,,,,,,1.5991252648124104,0.2460192715096016,,,0.0,2.400217410997373,2.253168518228759,50.0,42.6,62.4,42.6,4.82,2.13,,,,,COOL,COOL,COOL,2.69,,COOL,Red,Yellow,Red,Red,58,70,67,61,SOG,70,,,,,,,,,,False,False,0,
2026-01-10,CGY@PIT,2:30 PM,2026-01-10T20:30:00Z,Tommy Novak,PIT,C,,Healthy,Unknown,,,3,0.0,,CGY,Dustin Wolf,0.8973262032085562,2.9718806432195373,52.9,Unconfirmed,dailyfaceoff_name_and_stats,74.9,75.2,A1+A2,810.21,35.5,67.1,1.021,NONE,False,False,26.651996227601384,2.528827412763282,62.8,69.3,,,,,50.0,,,,,,,1.759932210018577,0.7039728840074309,,,0.0,2.5212231285913353,2.4800764063943386,50.0,67.2,65.8,67.2,5.1,1.94,,,,,COOL,COOL,COOL,3.16,,COOL,Yellow,Yellow,Red,Yellow,62,70,66,68,SOG,70,,,,,,,,,,False,False,3,
2026-01-10,CGY@PIT,2:30 PM,2026-01-10T20:30:00Z,Justin Brazeau,PIT,R,,Healthy,Unknown,,,3,0.0,,CGY,Dustin Wolf,0.8973262032085562,2.9718806432195373,52.9,Unconfirmed,dailyfaceoff_name_and_stats,75.4,57.6,A1+A2,794.29,33.9,60.9,1.013,NONE,False,False,26.651996227601384,2.528827412763282,62.8,69.3,,,,,50.0,,,,,,,2.6540843409023887,0.3538779121203185,,,0.0,2.5212231285913353,2.4800764063943386,50.0,67.2,74.0,67.2,5.8,2.91,,,,,COOL,COOL,COOL,2.89,,COOL,Red,Yellow,Red,Red,54,70,66,60,SOG,70,,,,,,,,,,False,False,2,
2026-01-10,DET@MTL,6:00 PM,2026-01-11T00:00:00Z,Ivan Demidov,MTL,R,,Healthy,Unknown,,,5,0.0,,DET,John Gibson,0.8984485190409027,2.8597908115980406,48.2,Confirmed,dailyfaceoff_name_and_stats,68.6,96.4,A1+A2,914.52,49.4,74.5,1.029,NONE,False,False,23.989226673271006,2.308370998699771,19.5,31.3,1.5,1.25,1.2,1.395,21.8,10.0,3.0,13.0,0.0,3.0,7.0,2.5499034127495173,0.927237604636188,,,0.0,2.4978919413644616,2.403636963795406,50.0,58.6,73.7,58.6,7.58,1.5,13.95,-2.42,-1.5,0.95,COOL,COOL,COOL,6.08,-0.92,COOL,Green,Red,Red,Green,66,66,58,70,ASSISTS,70,2.0,2.0,6.0,6.0,,,,🅰️ D:2,,False,False,3,
2026-01-10,STL@VGK,9:00 PM,2026-01-11T03:00:00Z,Robert Thomas,STL,C,,Healthy,Unknown,,,4,1.0,🟢 ROLE+,VGK,Akira Schmid,0.8944223107569721,2.5125429621143285,44.0,Unconfirmed,dailyfaceoff_name_and_stats,70.1,91.5,A1+A2,1140.15,78.4,79.2,1.035,NONE,False,False,24.056478110292158,2.3062783056566913,23.3,27.5,1.0,1.125,0.6,0.86,3.4,7.0,3.0,15.0,1.0,1.0,4.0,1.994110958864173,0.9445788752514503,,,0.0,2.114999305373323,2.0283098961147212,50.0,19.3,69.3,19.3,7.02,1.72,8.6,0.02,-1.28,-6.4,COOL,COOL,COOL,5.3,1.3,COOL,Green,Red,Red,Yellow,63,57,56,70,ASSISTS,70,0.0,0.0,2.0,8.0,,,,🅰️ D:0,,False,False,2,
2026-01-10,NYI@MIN,7:00 PM,2026-01-11T01:00:00Z,Emil Heineman,NYI,L,,Healthy,Unknown,,,6,0.0,,MIN,Filip Gustavsson,0.911957950065703,2.4755472991696856,18.8,Unconfirmed,dailyfaceoff_name_and_stats,89.3,52.3,A1+A2,993.55,60.7,70.6,1.025,NONE,False,False,25.016280655516653,2.2961470392191417,34.6,23.9,2.0,2.125,2.2,2.0700000000000003,53.2,3.0,2.0,28.0,1.0,1.0,1.0,1.487029795671091,0.19827063942281214,,,0.0,2.432117132377852,1.9885401169556187,50.0,36.1,60.3,36.1,4.43,2.8,20.7,1.43,0.8,-7.3,COOL,COOL,COOL,1.63,0.63,COOL,Red,Red,Red,Red,43,70,64,46,SOG,70,2.0,2.0,2.0,0.0,,,,🎯 D:0,,False,False,0,
